ID_BID,COD_UF_A,UF_A,COD_CID_A,NOME_CID_A,NIVEL_A,CLASS_A,COD_UF_B,UF_B,COD_CID_B,NOME_CID_B,NIVEL_B,CLASS_B,VAR01,VAR02,VAR03,VAR04,VAR05,VAR06,VAR07,VAR09,VAR10,VAR11,VAR12,VAR13
11003045002704,11,RO,1100304,Vilhena,3A,Centro Sub-Regional A,50,MS,5002704,Campo Grande,2A,Capital Regional A,99854,2769483,895982,29177496,0,0,47,0,0,0,0,0
11003043106200,11,RO,1100304,Vilhena,3A,Centro Sub-Regional A,31,MG,3106200,Arranjo Populacional de Belo Horizonte/MG,1C,Metrópole,99854,2769483,5199352,183769975,0,0,2,0,0,0,0,0
12002035300108,12,AC,1200203,Cruzeiro do Sul,3B,Centro Sub-Regional B,53,DF,5300108,Arranjo Populacional de Brasília/DF,1B,Metrópole Nacional,88376,1425685,3990059,266855183,415,0,28066,10689,0,14,99480,32221
12002031200401,12,AC,1200203,Cruzeiro do Sul,3B,Centro Sub-Regional B,12,AC,1200401,Rio Branco,2C,Capital Regional C,88376,1425685,407319,8940823,67395,38696,31160,8852,285053,72916,24301,8978
12002031302603,12,AC,1200203,Cruzeiro do Sul,3B,Centro Sub-Regional B,13,AM,1302603,Manaus,1C,Metrópole,88376,1425685,2182763,78192321,11061,10442,0,0,0,0,0,0
12002032304400,12,AC,1200203,Cruzeiro do Sul,3B,Centro Sub-Regional B,23,CE,2304400,Arranjo Populacional de Fortaleza/CE,1C,Metrópole,88376,1425685,3642907,90359241,1101,1923,0,0,0,0,0,0
12002035002704,12,AC,1200203,Cruzeiro do Sul,3B,Centro Sub-Regional B,50,MS,5002704,Campo Grande,2A,Capital Regional A,88376,1425685,895982,29177496,162,0,0,0,0,0,0,0
12002035103403,12,AC,1200203,Cruzeiro do Sul,3B,Centro Sub-Regional B,51,MT,5103403,Arranjo Populacional de Cuiabá/MT,2A,Capital Regional A,88376,1425685,897518,31689476,358,0,0,0,140,0,0,0
12002031501402,12,AC,1200203,Cruzeiro do Sul,3B,Centro Sub-Regional B,15,PA,1501402,Arranjo Populacional de Belém/PA,1C,Metrópole,88376,1425685,2217601,42500048,627,872,0,0,0,12,0,0
12004015300108,12,AC,1200401,Rio Branco,2C,Capital Regional C,53,DF,5300108,Arranjo Populacional de Brasília/DF,1B,Metrópole Nacional,407319,8940823,3990059,266855183,164111,175061,207872,120292,936034,999251,1171420,653575
12004013550308,12,AC,1200401,Rio Branco,2C,Capital Regional C,35,SP,3550308,Arranjo Populacional de São Paulo/SP,1A,Grande Metrópole Nacional,407319,8940823,21673440,1179573402,8528,5992,64103,47582,62007,0,233398,149320
12004011302603,12,AC,1200401,Rio Branco,2C,Capital Regional C,13,AM,1302603,Manaus,1C,Metrópole,407319,8940823,2182763,78192321,23214,24774,31492,8732,1360,2327,67291,43048
12004012304400,12,AC,1200401,Rio Branco,2C,Capital Regional C,23,CE,2304400,Arranjo Populacional de Fortaleza/CE,1C,Metrópole,407319,8940823,3642907,90359241,4115,3661,0,0,0,0,0,0
12004015208707,12,AC,1200401,Rio Branco,2C,Capital Regional C,52,GO,5208707,Arranjo Populacional de Goiânia/GO,1C,Metrópole,407319,8940823,2499746,72436719,0,0,0,0,72,0,0,0
12004013106200,12,AC,1200401,Rio Branco,2C,Capital Regional C,31,MG,3106200,Arranjo Populacional de Belo Horizonte/MG,1C,Metrópole,407319,8940823,5199352,183769975,920,0,0,0,0,0,0,0
12004015002704,12,AC,1200401,Rio Branco,2C,Capital Regional C,50,MS,5002704,Campo Grande,2A,Capital Regional A,407319,8940823,895982,29177496,898,0,0,0,0,0,0,0
12004015103403,12,AC,1200401,Rio Branco,2C,Capital Regional C,51,MT,5103403,Arranjo Populacional de Cuiabá/MT,2A,Capital Regional A,407319,8940823,897518,31689476,2429,19441,0,0,521,0,0,0
12004011501402,12,AC,1200401,Rio Branco,2C,Capital Regional C,15,PA,1501402,Arranjo Populacional de Belém/PA,1C,Metrópole,407319,8940823,2217601,42500048,6461,4452,0,0,0,0,0,0
12004013304557,12,AC,1200401,Rio Branco,2C,Capital Regional C,33,RJ,3304557,Arranjo Populacional do Rio de Janeiro/RJ,1B,Metrópole Nacional,407319,8940823,12777959,565696625,23,28,0,0,0,0,0,0
12004013509502,12,AC,1200401,Rio Branco,2C,Capital Regional C,35,SP,3509502,Arranjo Populacional de Campinas/SP,1C,Metrópole,407319,8940823,2166734,142196204,31,554,0,0,0,0,0,37982
13004091302603,13,AM,1300409,Barcelos,5,Centro Local,13,AM,1302603,Manaus,1C,Metrópole,27502,168178,2182763,78192321,4170,242,1598,0,1060,27,0,0
13004091303809,13,AM,1300409,Barcelos,5,Centro Local,13,AM,1303809,São Gabriel da Cachoeira,5,Centro Local,27502,168178,45564,329147,363,148,0,0,14,0,0,0
13007061302603,13,AM,1300706,Boca do Acre,5,Centro Local,13,AM,1302603,Manaus,1C,Metrópole,34308,416148,2182763,78192321,0,0,0,0,0,444,0,0
13008051302603,13,AM,1300805,Borba,5,Centro Local,13,AM,1302603,Manaus,1C,Metrópole,41161,303714,2182763,78192321,220,0,0,0,0,0,0,0
13008051302702,13,AM,1300805,Borba,5,Centro Local,13,AM,1302702,Manicoré,5,Centro Local,41161,303714,55751,528955,117,0,0,0,0,0,0,0
13010011302603,13,AM,1301001,Carauari,5,Centro Local,13,AM,1302603,Manaus,1C,Metrópole,28294,306340,2182763,78192321,0,4856,4819,3520,0,308,74,0
13010011301209,13,AM,1301001,Carauari,5,Centro Local,13,AM,1301209,Coari,5,Centro Local,28294,306340,85097,2015916,0,0,0,35,0,0,0,0
13010011304203,13,AM,1301001,Carauari,5,Centro Local,13,AM,1304203,Tefé,4B,Centro de Zona B,28294,306340,59849,934211,0,24,0,65,0,0,0,0
13012091302603,13,AM,1301209,Coari,5,Centro Local,13,AM,1302603,Manaus,1C,Metrópole,85097,2015916,2182763,78192321,3557,2749,3906,3281,62435,5596,161,24661
13012091301209,13,AM,1301209,Coari,5,Centro Local,13,AM,1301209,Coari,5,Centro Local,85097,2015916,85097,2015916,0,0,0,0,394500,0,0,0
13012091301407,13,AM,1301209,Coari,5,Centro Local,13,AM,1301407,Eirunepé,4B,Centro de Zona B,85097,2015916,35273,517544,258,0,0,0,0,0,0,0
13012091302405,13,AM,1301209,Coari,5,Centro Local,13,AM,1302405,Lábrea,5,Centro Local,85097,2015916,46069,495068,0,0,0,334,0,0,0,7344
13012091304203,13,AM,1301209,Coari,5,Centro Local,13,AM,1304203,Tefé,4B,Centro de Zona B,85097,2015916,59849,934211,452,0,0,91,34106,0,0,7450
13014071302603,13,AM,1301407,Eirunepé,4B,Centro de Zona B,13,AM,1302603,Manaus,1C,Metrópole,35273,517544,2182763,78192321,6681,1913,7719,3218,2935,0,135,203
13014071304203,13,AM,1301407,Eirunepé,4B,Centro de Zona B,13,AM,1304203,Tefé,4B,Centro de Zona B,35273,517544,59849,934211,1321,1650,310,237,67,8350,0,0
13016051302603,13,AM,1301605,Fonte Boa,5,Centro Local,13,AM,1302603,Manaus,1C,Metrópole,17609,180920,2182763,78192321,698,0,0,0,464,0,0,0
13016051303908,13,AM,1301605,Fonte Boa,5,Centro Local,13,AM,1303908,São Paulo de Olivença,5,Centro Local,17609,180920,39299,251094,31,0,0,0,0,0,0,0
13016051304062,13,AM,1301605,Fonte Boa,5,Centro Local,13,AM,1304062,Tabatinga,3B,Centro Sub-Regional B,17609,180920,65844,533611,195,0,0,0,0,0,0,0
