geocode,cities,dates
1304203.0,Tefé/AM,2020-04-10
1500206.0,Acará/PA,2020-04-11
2933208.0,Vera Cruz/BA,2020-04-11
1200203.0,Cruzeiro do Sul/AC,2020-04-13
1505106.0,Óbidos/PA,2020-04-14
1302405.0,Lábrea/AM,2020-04-14
1600808.0,Vitória do Jari/AP,2020-04-14
1508084.0,Tucumã/PA,2020-04-14
1300086.0,Anamã/AM,2020-04-14
1503903.0,Juruti/PA,2020-04-15
1504802.0,Monte Alegre/PA,2020-04-15
1600279.0,Laranjal do Jari/AP,2020-04-15
1504901.0,Muaná/PA,2020-04-15
1502806.0,Curralinho/PA,2020-04-15
1502004.0,Cachoeira do Arari/PA,2020-04-15
1301001.0,Carauari/AM,2020-04-16
1301209.0,Coari/AM,2020-04-17
1500305.0,Afuá/PA,2020-04-17
2100204.0,Alcântara/MA,2020-04-18
1303601.0,Santa Isabel do Rio Negro/AM,2020-04-18
1300904.0,Canutama/AM,2020-04-19
1302207.0,Juruá/AM,2020-04-19
1506302.0,Salvaterra/PA,2020-04-19
1506401.0,Santa Cruz do Arari/PA,2020-04-19
1300300.0,Autazes/AM,2020-04-20
1501808.0,Breves/PA,2020-04-20
1505304.0,Oriximiná/PA,2020-04-20
1507706.0,São Sebastião da Boa Vista/PA,2020-04-21
1300631.0,Beruri/AM,2020-04-21
1302801.0,Maraã/AM,2020-04-22
1303106.0,Nova Olinda do Norte/AM,2020-04-22
1300607.0,Benjamin Constant/AM,2020-04-22
1300409.0,Barcelos/AM,2020-04-22
1500404.0,Alenquer/PA,2020-04-23
1500701.0,Anajás/PA,2020-04-23
1303007.0,Nhamundá/AM,2020-04-23
1302553.0,Manaquiri/AM,2020-04-23
1301308.0,Codajás/AM,2020-04-24
1304104.0,Tapauá/AM,2020-04-24
1505908.0,Porto de Moz/PA,2020-04-24
1300839.0,Caapiranga/AM,2020-04-24
1303304.0,Novo Aripuanã/AM,2020-04-24
1301605.0,Fonte Boa/AM,2020-04-24
1300060.0,Amaturá/AM,2020-04-24
2706802.0,Piaçabuçu/AL,2020-04-24
1505700.0,Ponta de Pedras/PA,2020-04-24
1504000.0,Limoeiro do Ajuru/PA,2020-04-24
1508308.0,Viseu/PA,2020-04-24
1500503.0,Almeirim/PA,2020-04-25
1304302.0,Urucará/AM,2020-04-25
1303957.0,São Sebastião do Uatumã/AM,2020-04-25
1504604.0,Mocajuba/PA,2020-04-26
1301704.0,Humaitá/AM,2020-04-26
1304401.0,Urucurituba/AM,2020-04-26
2916104.0,Itaparica/BA,2020-04-26
1501105.0,Bagre/PA,2020-04-26
1302009.0,Itapiranga/AM,2020-04-26
1300805.0,Borba/AM,2020-04-27
1504505.0,Melgaço/PA,2020-04-27
2706703.0,Penedo/AL,2020-04-28
1501204.0,Baião/PA,2020-04-29
2105005.0,Humberto de Campos/MA,2020-04-29
1506005.0,Prainha/PA,2020-04-30
1507979.0,Terra Santa/PA,2020-05-02
1300508.0,Barreirinha/AM,2020-05-02
1507805.0,Senador José Porfírio/PA,2020-05-03
1502509.0,Chaves/PA,2020-05-03
2924405.0,Pilão Arcado/BA,2020-05-03
1300680.0,Boa Vista do Ramos/AM,2020-05-03
1300029.0,Alvarães/AM,2020-05-04
2404408.0,Grossos/RN,2020-05-04
2926004.0,Remanso/BA,2020-05-04
2102903.0,Carutapera/MA,2020-05-04
1505809.0,Portel/PA,2020-05-05
1503002.0,Faro/PA,2020-05-08
1508357.0,Vitória do Xingu/PA,2020-05-08
1502855.0,Curuá/PA,2020-05-08
4109500.0,Guaraqueçaba/PR,2020-05-08
1507904.0,Soure/PA,2020-05-08
1503101.0,Gurupá/PA,2020-05-09
2802403.0,Gararu/SE,2020-05-09
2806404.0,Santana do São Francisco/SE,2020-05-09
1302108.0,Japurá/AM,2020-05-11
1200351.0,Marechal Thaumaturgo/AC,2020-05-12
1710706.0,Itaguatins/TO,2020-05-13
1200393.0,Porto Walter/AC,2020-05-13
1304260.0,Uarini/AM,2020-05-15
2930204.0,Sento Sé/BA,2020-05-15
2109403.0,Primeira Cruz/MA,2020-05-15
2800704.0,Brejo Grande/SE,2020-05-18
2933604.0,Xique-Xique/BA,2020-05-22
2709202.0,Traipu/AL,2020-05-23
1501006.0,Aveiro/PA,2020-05-26
4318507.0,São José do Norte/RS,2020-05-28
1301803.0,Ipixuna/AM,2020-05-28
4314498.0,Pinheirinho do Vale/RS,2020-06-11
4207205.0,Imaruí/SC,2020-06-16
