geocode,cities,dates
1302603.0,Manaus/AM,2020-03-13
2927408.0,Salvador/BA,2020-03-13
1501402.0,Belém/PA,2020-03-18
2805703.0,Propriá/SE,2020-03-18
1600303.0,Macapá/AP,2020-03-20
2111300.0,São Luís/MA,2020-03-20
1100205.0,Porto Velho/RO,2020-03-21
1303403.0,Parintins/AM,2020-03-22
4315602.0,Rio Grande/RS,2020-03-23
1504208.0,Marabá/PA,2020-03-23
4209409.0,Laguna/SC,2020-03-24
2707503.0,Porto Real do Colégio/AL,2020-03-25
1303700.0,Santo Antônio do Içá/AM,2020-03-26
1503606.0,Itaituba/PA,2020-03-26
1302504.0,Manacapuru/AM,2020-03-27
3302601.0,Mangaratiba/RJ,2020-03-28
1301902.0,Itacoatiara/AM,2020-03-29
1300102.0,Anori/AM,2020-03-29
1303205.0,Novo Airão/AM,2020-03-30
3300100.0,Angra dos Reis/RJ,2020-03-30
1500107.0,Abaetetuba/PA,2020-03-31
1301159.0,Careiro da Várzea/AM,2020-03-31
1508100.0,Tucuruí/PA,2020-03-31
1506807.0,Santarém/PA,2020-04-01
1501303.0,Barcarena/PA,2020-04-01
2105302.0,Imperatriz/MA,2020-04-01
4118204.0,Paranaguá/PR,2020-04-02
1304237.0,Tonantins/AM,2020-04-02
1505205.0,Oeiras do Pará/PA,2020-04-03
1500602.0,Altamira/PA,2020-04-03
2111201.0,São José de Ribamar/MA,2020-04-03
4208401.0,Itapiranga/SC,2020-04-04
1600600.0,Santana/AP,2020-04-05
2401107.0,Areia Branca/RN,2020-04-05
1301852.0,Iranduba/AM,2020-04-05
1502103.0,Cametá/PA,2020-04-06
1302306.0,Jutaí/AM,2020-04-06
1303809.0,São Gabriel da Cachoeira/AM,2020-04-06
1303908.0,São Paulo de Olivença/AM,2020-04-07
1302702.0,Manicoré/AM,2020-04-08
1304062.0,Tabatinga/AM,2020-04-08
2105104.0,Icatu/MA,2020-04-08
1302900.0,Maués/AM,2020-04-10
