degree,degree_values,degree_geocde,strength,strength_values,strength_geocde,betweenness,betweenness_values,betweenness_geocde,betweenness_w,betweenness_w_values,betweenness_w_geocde,closeness,closeness_values,closeness_geocde,closeness_w,closeness_w_values,closeness_w_geocde
0,60,1302603.0,0,1735.5,1302603.0,0,2949.6687568529032,1302603.0,0,2898.8333333333335,1302603.0,37,1.0,4315602.0,56,0.5,2709202.0
10,37,1501402.0,10,1039.5,1501402.0,10,1643.5747673456806,1501402.0,14,1712.666666666668,1501808.0,38,1.0,4318507.0,57,0.5,2802403.0
9,24,1301902.0,23,874.75,1506807.0,23,359.34463747634464,1506807.0,10,1429.0,1501402.0,51,1.0,2927408.0,100,0.3333333333333333,2924405.0
14,24,1501808.0,51,767.0,2927408.0,14,353.35530880326473,1501808.0,105,1085.5,1301001.0,52,1.0,4208401.0,101,0.3333333333333333,2933604.0
23,23,1506807.0,74,539.0,2933208.0,9,267.8530580530578,1301902.0,42,569.5000000000001,1500305.0,53,1.0,4314498.0,122,0.3,1200203.0
21,19,1303403.0,35,475.0,1501303.0,55,107.78561718052393,1600600.0,9,530.4999999999999,1301902.0,56,1.0,2709202.0,123,0.24,1200351.0
15,17,1500503.0,37,472.0,4315602.0,13,100.08333333333333,1502103.0,24,453.0,1300904.0,57,1.0,2802403.0,95,0.16666666666666666,2105302.0
17,17,1506005.0,38,472.0,4318507.0,27,96.5,1304104.0,4,408.0,1301308.0,68,1.0,2401107.0,138,0.16666666666666666,1301803.0
20,17,1503101.0,72,467.0,1301159.0,15,92.28929981225532,1500503.0,18,408.0,1301209.0,69,1.0,2404408.0,135,0.15384615384615385,1200393.0
62,17,1304203.0,14,462.5,1501808.0,17,92.28929981225532,1506005.0,21,399.16666666666646,1303403.0,87,1.0,2706703.0,102,0.14814814814814814,1504208.0
4,15,1301308.0,62,458.0,1304203.0,20,92.28929981225532,1503101.0,61,382.3333333333333,1508357.0,88,1.0,2806404.0,132,0.09090909090909091,1508308.0
8,15,1504802.0,25,436.5,1505106.0,12,90.0,1504604.0,27,368.0,1304104.0,95,1.0,2105302.0,133,0.09090909090909091,2102903.0
18,15,1301209.0,17,359.5,1506005.0,21,85.56875685290319,1303403.0,32,286.3333333333333,1301704.0,96,1.0,2100204.0,94,0.08888888888888889,1710706.0
25,15,1505106.0,7,351.0,1503903.0,61,77.19928451510238,1508357.0,31,237.16666666666663,1600808.0,97,1.0,2111300.0,0,0.05812734082397004,1302603.0
7,14,1503903.0,75,329.5,1304062.0,67,77.19928451510238,1507805.0,23,200.33333333333334,1506807.0,98,1.0,2706802.0,14,0.05795369678864824,1501808.0
55,14,1600600.0,76,313.5,1300607.0,111,47.83333333333333,1504000.0,55,200.0,1600600.0,99,1.0,2800704.0,42,0.05581930657459359,1500305.0
31,11,1600808.0,8,293.0,1504802.0,43,47.166666666666664,1504901.0,12,188.0,1504604.0,100,1.0,2924405.0,116,0.05555555555555555,2926004.0
75,11,1304062.0,64,291.5,1505809.0,8,36.51984126984124,1504802.0,26,187.0,1300631.0,101,1.0,2933604.0,117,0.05555555555555555,2930204.0
76,11,1300607.0,9,287.0,1301902.0,19,25.25,1500404.0,111,186.0,1504000.0,106,1.0,3300100.0,10,0.05518418432655383,1501402.0
77,11,1301605.0,15,274.5,1500503.0,25,23.530835830835834,1505106.0,34,168.16666666666663,1600303.0,107,1.0,3302601.0,9,0.05512146611734622,1301902.0
89,11,1300060.0,21,272.5,1303403.0,62,23.0,1304203.0,67,137.83333333333331,1507805.0,113,1.0,4109500.0,21,0.0548875371339652,1303403.0
91,11,1302306.0,4,268.0,1301308.0,34,22.328808924217803,1600303.0,19,118.66666666666667,1500404.0,114,1.0,4118204.0,33,0.0548720124451987,1505908.0
93,11,1303908.0,18,262.0,1301209.0,42,18.784526807482305,1500305.0,35,114.83333333333333,1501303.0,116,1.0,2926004.0,24,0.05395633430677235,1300904.0
103,11,1303700.0,91,253.625,1302306.0,48,17.405555555555555,1507979.0,45,105.0,1503002.0,117,1.0,2930204.0,105,0.0536727071517499,1301001.0
115,11,1304237.0,77,248.875,1301605.0,7,16.537129537129537,1503903.0,90,96.0,1302504.0,122,1.0,1200203.0,19,0.052653005835255805,1500404.0
30,10,1600279.0,65,241.0,1504505.0,45,15.572222222222207,1503002.0,71,92.0,1500107.0,125,1.0,2707503.0,31,0.052567402790949735,1600808.0
33,10,1505908.0,90,238.25,1302504.0,4,9.0,1301308.0,30,76.33333333333333,1600279.0,126,1.0,2805703.0,61,0.05154776139232098,1508357.0
48,10,1507979.0,39,229.5,1303106.0,18,9.0,1301209.0,59,71.0,1501105.0,127,1.0,4207205.0,30,0.05130239323019966,1600279.0
61,10,1508357.0,50,228.0,2916104.0,35,8.25,1501303.0,11,49.0,1501204.0,128,1.0,4209409.0,67,0.05127527421699485,1507805.0
67,10,1507805.0,6,213.5,1300805.0,31,7.868341390794763,1600808.0,5,32.666666666666664,1300300.0,132,1.0,1508308.0,12,0.05120760195327966,1504604.0
34,8,1600303.0,120,203.5,1304302.0,73,6.25,1502806.0,73,24.0,1502806.0,133,1.0,2102903.0,34,0.05112663064962446,1600303.0
35,8,1501303.0,20,200.5,1503101.0,26,4.666666666666666,1300631.0,36,14.0,1505205.0,83,0.75,2105005.0,29,0.0510056526883134,1500701.0
45,8,1503002.0,58,198.0,1302702.0,33,4.371081715988459,1505908.0,6,5.0,1300805.0,84,0.75,2111201.0,27,0.05026557844280347,1304104.0
73,8,1502806.0,93,196.5,1303908.0,36,3.9499999999999997,1505205.0,22,5.0,1507706.0,0,0.6928571428571428,1302603.0,7,0.049980677573103184,1503903.0
6,7,1300805.0,103,195.5,1303700.0,39,3.5333333333333337,1303106.0,122,3.0,1200203.0,50,0.6666666666666666,2916104.0,25,0.049980677573103184,1505106.0
19,7,1500404.0,115,192.5,1304237.0,122,3.0,1200203.0,47,2.0,1304401.0,74,0.6666666666666666,2933208.0,2,0.049597341173462865,1302108.0
39,7,1303106.0,125,186.0,2707503.0,30,2.922619047619047,1600279.0,83,2.0,2105005.0,94,0.6666666666666666,1710706.0,16,0.049571994378433626,1302801.0
42,7,1500305.0,126,186.0,2805703.0,90,2.6666666666666665,1302504.0,84,2.0,2111201.0,102,0.6666666666666666,1504208.0,4,0.04955933069357517,1301308.0
66,7,1505304.0,55,183.5,1600600.0,6,2.333333333333333,1300805.0,51,1.0,2927408.0,10,0.6139240506329114,1501402.0,18,0.04955933069357517,1301209.0
13,6,1502103.0,89,183.5,1300060.0,83,2.0,2105005.0,95,1.0,2105302.0,123,0.6,1200351.0,63,0.04910770788507784,1302207.0
26,6,1300631.0,44,181.5,1303304.0,84,2.0,2111201.0,63,0.5,1302207.0,135,0.6,1200393.0,83,0.04878048780487805,2105005.0
32,6,1301704.0,3,179.5,1300029.0,64,1.2583333333333333,1505809.0,1,0.0,1304260.0,138,0.6,1301803.0,84,0.04878048780487805,2111201.0
40,6,1100205.0,66,176.5,1505304.0,51,1.0,2927408.0,2,0.0,1302108.0,14,0.5542857142857143,1501808.0,8,0.04789532156523886,1504802.0
44,6,1303304.0,108,154.0,1501006.0,95,1.0,2105302.0,3,0.0,1300029.0,9,0.5480225988700564,1301902.0,15,0.04781269254467036,1500503.0
58,6,1302702.0,129,153.0,1303957.0,80,0.9999999999999999,1502509.0,7,0.0,1503903.0,23,0.5480225988700564,1506807.0,11,0.04773034813630213,1501204.0
64,6,1505809.0,26,148.5,1300631.0,120,0.6666666666666666,1304302.0,8,0.0,1504802.0,15,0.5359116022099447,1500503.0,52,0.047619047619047616,4208401.0
90,6,1302504.0,104,148.0,1302009.0,5,0.5333333333333333,1300300.0,13,0.0,1502103.0,17,0.5359116022099447,1506005.0,53,0.047619047619047616,4314498.0
1,5,1304260.0,33,145.5,1505908.0,22,0.5,1507706.0,15,0.0,1500503.0,20,0.5359116022099447,1503101.0,45,0.04755484740777056,1503002.0
3,5,1300029.0,119,136.5,1300086.0,71,0.5,1500107.0,16,0.0,1302801.0,21,0.532967032967033,1303403.0,66,0.04736906360639727,1505304.0
22,5,1507706.0,13,130.75,1502103.0,59,0.44999999999999996,1501105.0,17,0.0,1506005.0,8,0.5243243243243243,1504802.0,78,0.04682032098467479,1508084.0
36,5,1505205.0,118,130.0,1503606.0,65,0.35,1504505.0,20,0.0,1503101.0,25,0.521505376344086,1505106.0,80,0.04682032098467479,1502509.0
46,5,1303007.0,73,129.5,1502806.0,1,0.0,1304260.0,25,0.0,1505106.0,7,0.5187165775401069,1503903.0,28,0.04677516576250754,1302405.0
59,5,1501105.0,92,124.0,1302553.0,2,0.0,1302108.0,28,0.0,1302405.0,85,0.5,2105104.0,62,0.046584223796374113,1304203.0
63,5,1302207.0,70,123.0,1300102.0,3,0.0,1300029.0,29,0.0,1500701.0,137,0.5,2109403.0,35,0.0461739854813757,1501303.0
65,5,1504505.0,87,120.0,2706703.0,11,0.0,1501204.0,33,0.0,1505908.0,48,0.44495412844036697,1507979.0,17,0.04616299821534801,1506005.0
105,5,1301001.0,88,120.0,2806404.0,16,0.0,1302801.0,37,0.0,4315602.0,45,0.4409090909090909,1503002.0,20,0.04598791039469006,1503101.0
120,5,1304302.0,48,117.5,1507979.0,24,0.0,1300904.0,38,0.0,4318507.0,62,0.4409090909090909,1304203.0,55,0.045353594389246056,1600600.0
