nodes,matric_values,geocode
3662,9858728.0,3550308.0
3831,3703617.0,4106902.0
3099,3250514.0,3304557.0
5173,3087566.7,5208707.0
5321,3025826.5,5300108.0
4203,2529012.0,4205407.0
1843,2130717.5,2910800.0
1479,2108396.0,2611101.0
2191,2032499.125,3106200.0
4701,2004977.5,4314902.0
1485,1728926.0,2611606.0
2047,1672016.0,2927408.0
1491,1422534.0,2612208.0
794,1166706.3333333335,2211001.0
861,958928.0,2304400.0
422,879354.0,2103000.0
4982,823111.0833333333,5103403.0
1193,818191.8333333334,2504009.0
1642,748048.8666666667,2800308.0
1069,596553.8333333333,2408102.0
1968,570635.0,2921302.0
3807,569945.0,4104808.0
853,566883.5,2304202.0
152,540945.0,1504208.0
1541,461906.0,2700300.0
3656,459621.69999999995,3549805.0
3925,445941.99999999994,4113700.0
1694,422338.0,2805703.0
4885,408629.33333333326,5002704.0
1275,406082.0,2510808.0
515,396730.0,2109007.0
3592,395533.0,3543402.0
3942,376894.5,4115200.0
2123,373219.0,2933307.0
517,370377.0,2109106.0
550,356376.0833333333,2111300.0
326,351541.5,1716109.0
3035,350918.0,3205309.0
459,346604.0,2105302.0
3570,345348.3333333333,3541406.0
1585,330507.5,2704302.0
3228,328759.0,3509502.0
2537,303052.6666666666,3136702.0
112,295370.0,1501402.0
2616,294517.5,3143302.0
738,281696.6666666666,2208007.0
509,275842.5,2108454.0
3681,275833.0,3552205.0
16,274112.0,1100205.0
294,269109.3333333333,1709500.0
1237,261703.0,2507507.0
4474,244570.5,4304705.0
1751,243064.5,2903201.0
2432,237172.125,3127701.0
4739,230491.5,4316907.0
4184,226102.0,4204202.0
4772,225462.5,4318705.0
2931,222898.5,3170206.0
128,218503.0,1502400.0
3188,217082.0,3506003.0
1402,182150.0,2604106.0
4680,174703.0,4314100.0
4004,171986.0,4119905.0
969,168101.0,2312908.0
2912,164658.2916666667,3168606.0
4961,161146.0,5101803.0
4807,158837.0,4320800.0
1889,153088.0,2914802.0
248,148247.0,1702109.0
4156,147626.0,4202404.0
1290,144166.0,2512101.0
4613,141878.5,4311403.0
2186,140775.0,3105608.0
1068,140609.5,2408003.0
2474,132189.5,3131307.0
662,125582.0,2203909.0
1925,125504.0,2918001.0
126,121727.0,1502202.0
1511,118068.0,2613909.0
77,116229.0,1302603.0
1871,115448.0,2913200.0
3154,112459.16666666669,3502804.0
