degree,strength,betweenness,betweenness_w,closeness,closeness_w,cities,dates
1.0,0.0,0.0,1.0,0.0,0.0,São Paulo/SP,2020-02-25
0.5,0.0,0.5,0.5,0.0,0.5,Rio de Janeiro/RJ,2020-03-06
0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,Feira de Santana/BA,2020-03-06
0.5,0.0,0.25,0.25,0.25,0.5,Brasília/DF,2020-03-07
0.4,0.2,0.2,0.2,0.4,0.4,Maceió/AL,2020-03-08
0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,Divinópolis/MG,2020-03-08
0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5714285714285714,Porto Alegre/RS,2020-03-11
0.375,0.125,0.25,0.25,0.375,0.5,Goiânia/GO,2020-03-12
0.5555555555555556,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.5555555555555556,Recife/PE,2020-03-12
0.5,0.2,0.5,0.5,0.5,0.6,Curitiba/PR,2020-03-12
0.5454545454545454,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.6363636363636364,Florianópolis/SC,2020-03-12
0.5,0.25,0.4166666666666667,0.5,0.4166666666666667,0.6666666666666666,Natal/RN,2020-03-12
0.46153846153846156,0.23076923076923078,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.6153846153846154,Ipatinga/MG,2020-03-12
0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,Rio Verde/GO,2020-03-12
0.4666666666666667,0.26666666666666666,0.4,0.4,0.4,0.5333333333333333,Caxias do Sul/RS,2020-03-12
0.5,0.3125,0.375,0.375,0.4375,0.5,Cianorte/PR,2020-03-12
0.5294117647058824,0.35294117647058826,0.4117647058823529,0.4117647058823529,0.47058823529411764,0.5294117647058824,Manaus/AM,2020-03-13
0.5555555555555556,0.3888888888888889,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,Salvador/BA,2020-03-13
0.5789473684210527,0.3684210526315789,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.47368421052631576,Joinville/SC,2020-03-13
0.55,0.35,0.4,0.4,0.5,0.5,Campo Grande/MS,2020-03-14
0.5714285714285714,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.47619047619047616,0.47619047619047616,Aracaju/SE,2020-03-14
0.5454545454545454,0.3181818181818182,0.4090909090909091,0.36363636363636365,0.45454545454545453,0.45454545454545453,Patrocínio/MG,2020-03-14
0.5652173913043478,0.30434782608695654,0.43478260869565216,0.34782608695652173,0.43478260869565216,0.43478260869565216,Juiz de Fora/MG,2020-03-14
0.5833333333333334,0.3333333333333333,0.5,0.4166666666666667,0.4583333333333333,0.5,Belo Horizonte/MG,2020-03-16
0.6,0.32,0.52,0.44,0.48,0.52,Fortaleza/CE,2020-03-16
0.6153846153846154,0.34615384615384615,0.5769230769230769,0.4230769230769231,0.46153846153846156,0.5,Porto Seguro/BA,2020-03-16
0.5925925925925926,0.3333333333333333,0.5555555555555556,0.4074074074074074,0.4444444444444444,0.48148148148148145,Rio Branco/AC,2020-03-17
0.6071428571428571,0.35714285714285715,0.5357142857142857,0.39285714285714285,0.42857142857142855,0.4642857142857143,Uberlândia/MG,2020-03-17
0.5862068965517241,0.3793103448275862,0.5172413793103449,0.41379310344827586,0.41379310344827586,0.4482758620689655,Londrina/PR,2020-03-17
0.6,0.4,0.5666666666666667,0.43333333333333335,0.4666666666666667,0.4666666666666667,Campinas/SP,2020-03-18
0.6129032258064516,0.41935483870967744,0.5483870967741935,0.41935483870967744,0.4838709677419355,0.4838709677419355,São José do Rio Preto/SP,2020-03-18
0.625,0.46875,0.5625,0.4375,0.5,0.53125,Belém/PA,2020-03-18
0.6363636363636364,0.45454545454545453,0.5757575757575758,0.42424242424242425,0.48484848484848486,0.5454545454545454,Maringá/PR,2020-03-18
0.6470588235294118,0.4411764705882353,0.5588235294117647,0.4411764705882353,0.47058823529411764,0.5294117647058824,Foz do Iguaçu/PR,2020-03-18
0.6285714285714286,0.45714285714285713,0.5714285714285714,0.45714285714285713,0.4857142857142857,0.5142857142857142,São José dos Campos/SP,2020-03-18
0.6666666666666666,0.4722222222222222,0.5555555555555556,0.4444444444444444,0.4722222222222222,0.5,Palmas/TO,2020-03-18
0.6756756756756757,0.4594594594594595,0.5675675675675675,0.43243243243243246,0.4594594594594595,0.4864864864864865,João Pessoa/PB,2020-03-18
0.6578947368421053,0.4473684210526316,0.5526315789473685,0.42105263157894735,0.47368421052631576,0.47368421052631576,Sobral/CE,2020-03-18
0.6923076923076923,0.46153846153846156,0.5641025641025641,0.4358974358974359,0.48717948717948717,0.48717948717948717,Vitória/ES,2020-03-19
0.7,0.45,0.575,0.45,0.475,0.475,Teresina/PI,2020-03-19
0.6829268292682927,0.4634146341463415,0.5609756097560976,0.43902439024390244,0.4634146341463415,0.4634146341463415,Erechim/RS,2020-03-19
0.6666666666666666,0.4523809523809524,0.5476190476190477,0.42857142857142855,0.4523809523809524,0.4523809523809524,Bagé/RS,2020-03-19
0.6744186046511628,0.46511627906976744,0.5581395348837209,0.4418604651162791,0.46511627906976744,0.46511627906976744,Cuiabá/MT,2020-03-20
0.6590909090909091,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.4772727272727273,0.4772727272727273,Ji-Paraná/RO,2020-03-20
0.6666666666666666,0.4444444444444444,0.5777777777777777,0.4444444444444444,0.4888888888888889,0.4888888888888889,Macapá/AP,2020-03-20
