degree,degree_values,degree_geocde,strength,strength_values,strength_geocde,betweenness,betweenness_values,betweenness_geocde,betweenness_w,betweenness_w_values,betweenness_w_geocde,closeness,closeness_values,closeness_geocde,closeness_w,closeness_w_values,closeness_w_geocde
179,1461,3550308.0,179,67645.25,3550308.0,179,4031344.5505871,3550308.0,179,3386882.673373891,3550308.0,1641,1.0,1505106.0,179,0.04466387254065285,3550308.0
76,643,3106200.0,76,36472.0,3106200.0,76,1026723.9338646448,3106200.0,76,1132836.2275691042,3106200.0,5070,1.0,5101605.0,613,0.04447083358685094,1100122.0
33,604,5208707.0,1599,32848.0,2927408.0,33,771377.0154203675,5208707.0,75,987588.5819861682,2702405.0,5071,1.0,5107800.0,728,0.044451434982750844,2905305.0
213,596,3509502.0,162,31176.0,2800308.0,289,638633.1189353464,5300108.0,613,981772.5414428273,1100122.0,117,0.8421052631578947,1600303.0,1494,0.044359707924097096,3131307.0
289,572,5300108.0,213,28484.75,3509502.0,198,549845.5358797837,3304557.0,213,973984.9006787468,3509502.0,1640,0.6666666666666666,1502855.0,75,0.04432751668869519,2702405.0
198,461,3304557.0,33,28050.0,5208707.0,114,523071.1421835576,4314902.0,114,866823.5390447639,4314902.0,5286,0.6666666666666666,1505304.0,1537,0.04429324316982142,5218805.0
270,436,2910800.0,6,27239.0,2304400.0,6,487472.935650607,2304400.0,847,835014.8808704896,3103504.0,3565,0.5925925925925926,1600535.0,265,0.04428435923900099,3170206.0
1599,433,2927408.0,114,26585.25,4314902.0,213,473160.65419151424,3509502.0,1606,786939.2383305811,3548708.0,1620,0.5714285714285714,1600279.0,2441,0.04421111034630924,5211503.0
95,427,4106902.0,338,25698.5,2504009.0,95,444184.5485746319,4106902.0,2441,766665.7657599481,5211503.0,179,0.5669198673371135,3550308.0,4206,0.044171124554819,3109501.0
114,423,4314902.0,270,25495.5,2910800.0,431,384711.07383725815,2408102.0,95,760999.38150794,4106902.0,1270,0.5517241379310345,1600105.0,213,0.04414361879373542,3509502.0
27,382,5201108.0,147,25430.0,2611606.0,270,305997.62307839445,2910800.0,1494,739030.5051936697,3131307.0,4860,0.5517241379310345,1600709.0,847,0.04410384670604857,3103504.0
