nodes,matric_values,geocode
0,60,1302603.0
10,37,1501402.0
9,24,1301902.0
14,24,1501808.0
23,23,1506807.0
21,19,1303403.0
15,17,1500503.0
17,17,1506005.0
20,17,1503101.0
62,17,1304203.0
4,15,1301308.0
8,15,1504802.0
18,15,1301209.0
25,15,1505106.0
7,14,1503903.0
55,14,1600600.0
31,11,1600808.0
75,11,1304062.0
76,11,1300607.0
77,11,1301605.0
89,11,1300060.0
91,11,1302306.0
93,11,1303908.0
103,11,1303700.0
115,11,1304237.0
30,10,1600279.0
33,10,1505908.0
48,10,1507979.0
61,10,1508357.0
67,10,1507805.0
34,8,1600303.0
35,8,1501303.0
45,8,1503002.0
73,8,1502806.0
6,7,1300805.0
19,7,1500404.0
39,7,1303106.0
42,7,1500305.0
66,7,1505304.0
13,6,1502103.0
26,6,1300631.0
32,6,1301704.0
40,6,1100205.0
44,6,1303304.0
58,6,1302702.0
64,6,1505809.0
90,6,1302504.0
1,5,1304260.0
3,5,1300029.0
22,5,1507706.0
36,5,1505205.0
46,5,1303007.0
59,5,1501105.0
63,5,1302207.0
65,5,1504505.0
105,5,1301001.0
120,5,1304302.0
12,4,1504604.0
27,4,1304104.0
29,4,1500701.0
70,4,1300102.0
80,4,1502509.0
104,4,1302009.0
119,4,1300086.0
129,4,1303957.0
131,4,1300680.0
136,4,1300508.0
2,3,1302108.0
5,3,1300300.0
11,3,1501204.0
16,3,1302801.0
41,3,1300839.0
43,3,1504901.0
47,3,1304401.0
82,3,1508100.0
111,3,1504000.0
121,3,1303809.0
122,3,1200203.0
124,3,1300409.0
134,3,1303601.0
24,2,1300904.0
49,2,1302900.0
51,2,2927408.0
71,2,1500107.0
78,2,1508084.0
83,2,2105005.0
84,2,2111201.0
92,2,1302553.0
95,2,2105302.0
108,2,1501006.0
109,2,1506401.0
112,2,1502855.0
118,2,1503606.0
130,2,1502004.0
28,1,1302405.0
37,1,4315602.0
38,1,4318507.0
50,1,2916104.0
52,1,4208401.0
53,1,4314498.0
54,1,1500206.0
56,1,2709202.0
57,1,2802403.0
60,1,1500602.0
68,1,2401107.0
69,1,2404408.0
72,1,1301159.0
74,1,2933208.0
79,1,1301852.0
81,1,1506302.0
85,1,2105104.0
86,1,1303205.0
87,1,2706703.0
88,1,2806404.0
94,1,1710706.0
96,1,2100204.0
97,1,2111300.0
98,1,2706802.0
99,1,2800704.0
100,1,2924405.0
101,1,2933604.0
102,1,1504208.0
106,1,3300100.0
107,1,3302601.0
110,1,1505700.0
113,1,4109500.0
114,1,4118204.0
116,1,2926004.0
117,1,2930204.0
123,1,1200351.0
125,1,2707503.0
126,1,2805703.0
127,1,4207205.0
128,1,4209409.0
132,1,1508308.0
133,1,2102903.0
135,1,1200393.0
137,1,2109403.0
138,1,1301803.0
139,1,1507904.0
