degree,strength,betweenness,betweenness_w,closeness,closeness_w,cities,dates
0.29411764705882354,0.23529411764705882,0.2647058823529412,0.3235294117647059,0.4117647058823529,0.4411764705882353,Areia Branca/RN,2020-04-05
0.2857142857142857,0.22857142857142856,0.2571428571428571,0.3142857142857143,0.4,0.42857142857142855,Iranduba/AM,2020-04-05
0.2777777777777778,0.2222222222222222,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.4166666666666667,Cametá/PA,2020-04-06
0.2972972972972973,0.21621621621621623,0.2702702702702703,0.32432432432432434,0.3783783783783784,0.40540540540540543,Jutaí/AM,2020-04-06
0.2894736842105263,0.21052631578947367,0.2894736842105263,0.3157894736842105,0.39473684210526316,0.39473684210526316,São Gabriel da Cachoeira/AM,2020-04-06
0.3076923076923077,0.20512820512820512,0.28205128205128205,0.3076923076923077,0.41025641025641024,0.41025641025641024,São Paulo de Olivença/AM,2020-04-07
0.325,0.2,0.275,0.325,0.4,0.4,Manicoré/AM,2020-04-08
0.34146341463414637,0.21951219512195122,0.2926829268292683,0.34146341463414637,0.3902439024390244,0.3902439024390244,Tabatinga/AM,2020-04-08
0.3333333333333333,0.21428571428571427,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.38095238095238093,Icatu/MA,2020-04-08
0.3488372093023256,0.20930232558139536,0.3023255813953488,0.32558139534883723,0.37209302325581395,0.37209302325581395,Maués/AM,2020-04-10
0.36363636363636365,0.22727272727272727,0.3409090909090909,0.3409090909090909,0.38636363636363635,0.36363636363636365,Tefé/AM,2020-04-10
0.37777777777777777,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4,0.37777777777777777,Acará/PA,2020-04-11
0.3695652173913043,0.21739130434782608,0.32608695652173914,0.32608695652173914,0.41304347826086957,0.391304347826087,Vera Cruz/BA,2020-04-11
0.3829787234042553,0.2553191489361702,0.3404255319148936,0.3404255319148936,0.425531914893617,0.40425531914893614,Cruzeiro do Sul/AC,2020-04-13
0.3958333333333333,0.2708333333333333,0.3541666666666667,0.3541666666666667,0.4166666666666667,0.4375,Óbidos/PA,2020-04-14
0.3877551020408163,0.2857142857142857,0.3673469387755102,0.3673469387755102,0.42857142857142855,0.42857142857142855,Lábrea/AM,2020-04-14
0.4,0.32,0.38,0.38,0.42,0.44,Vitória do Jari/AP,2020-04-14
0.4117647058823529,0.35294117647058826,0.37254901960784315,0.39215686274509803,0.43137254901960786,0.43137254901960786,Tucumã/PA,2020-04-14
0.40384615384615385,0.34615384615384615,0.36538461538461536,0.40384615384615385,0.4230769230769231,0.4230769230769231,Anamã/AM,2020-04-14
0.41509433962264153,0.3584905660377358,0.37735849056603776,0.4339622641509434,0.4528301886792453,0.4339622641509434,Juruti/PA,2020-04-15
0.42592592592592593,0.3888888888888889,0.3888888888888889,0.4444444444444444,0.46296296296296297,0.46296296296296297,Monte Alegre/PA,2020-04-15
0.43636363636363634,0.41818181818181815,0.4,0.45454545454545453,0.45454545454545453,0.4727272727272727,Laranjal do Jari/AP,2020-04-15
0.42857142857142855,0.42857142857142855,0.4107142857142857,0.48214285714285715,0.44642857142857145,0.48214285714285715,Muaná/PA,2020-04-15
0.43859649122807015,0.45614035087719296,0.42105263157894735,0.47368421052631576,0.45614035087719296,0.47368421052631576,Curralinho/PA,2020-04-15
0.43103448275862066,0.4482758620689655,0.43103448275862066,0.46551724137931033,0.4482758620689655,0.46551724137931033,Cachoeira do Arari/PA,2020-04-15
0.4406779661016949,0.4745762711864407,0.423728813559322,0.4576271186440678,0.4406779661016949,0.4745762711864407,Carauari/AM,2020-04-16
0.45,0.5,0.43333333333333335,0.4666666666666667,0.43333333333333335,0.48333333333333334,Coari/AM,2020-04-17
