degree,degree_values,degree_geocde,strength,strength_values,strength_geocde,betweenness,betweenness_values,betweenness_geocde,betweenness_w,betweenness_w_values,betweenness_w_geocde,closeness,closeness_values,closeness_geocde,closeness_w,closeness_w_values,closeness_w_geocde
108,6,3143302.0,54,3227.73076923077,1504208.0,110,4.047170834455986,3541406.0,45,272.0,1600303.0,28,0.4068627450980392,4115200.0,85,0.02536734453979075,3506003.0
113,6,2913606.0,64,2979.0192307692323,2105302.0,57,3.558333333333336,4108304.0,98,189.0,2307304.0,113,0.4068627450980392,2913606.0,26,0.02535184793590376,1500602.0
206,6,5105150.0,149,2427.499999999997,4104808.0,12,3.4929292929292934,5107909.0,206,167.0,5105150.0,149,0.4068627450980392,4104808.0,12,0.025342767387921673,5107909.0
19,5,1200401.0,12,2417.7307692307727,5107909.0,16,3.2718204209583535,3549805.0,0,165.0,1100049.0,108,0.4058679706601467,3143302.0,28,0.025327746675586536,4115200.0
26,5,1500602.0,110,2072.423076923076,3541406.0,85,2.333333333333333,3506003.0,16,165.0,3549805.0,156,0.4058679706601467,5107602.0,202,0.02531519351518119,5102702.0
55,5,1505536.0,105,2035.0961538461586,2605459.0,59,1.8333333333333326,3549904.0,26,165.0,1500602.0,19,0.40487804878048783,1200401.0,10,0.025247443667080042,5208707.0
84,5,3170107.0,108,1878.2115384615402,3143302.0,98,1.4000000000000004,2307304.0,57,165.0,4108304.0,84,0.40487804878048783,3170107.0,205,0.025206893933642085,5105101.0
152,5,4204202.0,99,1462.557692307692,2504009.0,53,1.1941122602887306,5100250.0,59,165.0,3549904.0,118,0.40487804878048783,2933307.0,158,0.02518865226703706,3303807.0
201,5,5100201.0,86,1445.519230769231,3502804.0,208,1.0,5107958.0,63,165.0,1505106.0,152,0.40487804878048783,4204202.0,51,0.025143529589961224,2927408.0
7,4,1302405.0,165,1416.3653846153843,4314100.0,164,0.75,5002209.0,80,165.0,5103353.0,124,0.40389294403892945,3525904.0,210,0.025032334398580183,5105259.0
12,4,5107909.0,85,1139.2884615384617,3506003.0,7,0.3333333333333333,1302405.0,94,165.0,2301109.0,165,0.40389294403892945,4314100.0,30,0.0250275442157147,4205407.0
28,4,4115200.0,55,1139.0384615384617,1505536.0,37,0.3333333333333333,1301209.0,157,165.0,3302403.0,159,0.4029126213592233,4305108.0,113,0.025021740390747286,2913606.0
37,4,1301209.0,159,1028.557692307693,4305108.0,26,0.25,1500602.0,164,165.0,5002209.0,141,0.4019370460048426,5204508.0,27,0.02501746179417398,4106902.0
44,4,1303403.0,26,958.8653846153846,1500602.0,52,0.24567099567099568,3170206.0,180,165.0,4127106.0,85,0.39712918660287083,3506003.0,211,0.02493990384615384,5106224.0
49,4,1503606.0,166,932.192307692308,4208807.0,108,0.16666666666666666,3143302.0,187,165.0,4108403.0,94,0.39712918660287083,2301109.0,206,0.02490622655663915,5105150.0
66,4,1505908.0,146,920.9423076923069,3136702.0,99,0.08333333333333333,2504009.0,212,165.0,5106752.0,99,0.3952380952380952,2504009.0,212,0.024854521006274093,5106752.0
68,4,1600279.0,148,866.8461538461537,5003702.0,0,0.0,1100049.0,210,162.0,5105259.0,145,0.3933649289099526,5218805.0,13,0.024787218157383904,1100205.0
94,4,2301109.0,41,747.8461538461542,1304062.0,3,0.0,1100122.0,19,161.0,1200401.0,148,0.3933649289099526,5003702.0,22,0.024763751742815008,1400100.0
97,4,2304251.0,117,705.846153846154,2903201.0,5,0.0,1200203.0,100,90.0,2611101.0,153,0.3933649289099526,4209102.0,111,0.02476268614328048,2910800.0
99,4,2504009.0,53,658.9615384615383,5100250.0,6,0.0,1301704.0,3,0.0,1100122.0,160,0.3933649289099526,3529005.0,25,0.02476140754488578,2304400.0
118,4,2933307.0,97,646.519230769231,2304251.0,14,0.0,1100304.0,5,0.0,1200203.0,86,0.39243498817966904,3502804.0,24,0.024754164647313368,1304203.0
124,4,3525904.0,123,560.865384615385,3131307.0,22,0.0,1400100.0,6,0.0,1301704.0,146,0.39243498817966904,3136702.0,49,0.02475210616566018,1503606.0
149,4,4104808.0,122,467.480769230769,3127701.0,28,0.0,4115200.0,7,0.0,1302405.0,163,0.39243498817966904,4119905.0,91,0.02475182226402325,2925303.0
156,4,5107602.0,160,466.76923076923106,3529005.0,31,0.0,1300409.0,12,0.0,5107909.0,166,0.39243498817966904,4208807.0,69,0.024749906098305754,2211001.0
165,4,4314100.0,156,408.5000000000003,5107602.0,32,0.0,1303809.0,14,0.0,1100304.0,138,0.3905882352941176,3300704.0,52,0.02473416219902519,3170206.0
36,3,1301001.0,24,406.49999999999955,1304203.0,33,0.0,1300706.0,22,0.0,1400100.0,150,0.3905882352941176,3300100.0,138,0.02472438554230671,3300704.0
48,3,1505304.0,5,375.788461538461,1200203.0,34,0.0,1300805.0,28,0.0,4115200.0,55,0.3851508120649652,1505536.0,94,0.02471518271540604,2301109.0
53,3,5100250.0,138,357.5384615384619,3300704.0,35,0.0,1302702.0,31,0.0,1300409.0,164,0.3833718244803695,5002209.0,153,0.024531438721136764,4209102.0
62,3,1504802.0,141,346.9038461538459,5204508.0,36,0.0,1301001.0,32,0.0,1303809.0,90,0.3824884792626728,2207702.0,95,0.024518269405562617,2408003.0
63,3,1505106.0,60,343.076923076923,1702109.0,38,0.0,1301407.0,33,0.0,1300706.0,157,0.3824884792626728,3302403.0,175,0.024515135938019187,3548500.0
117,3,2903201.0,145,325.00000000000045,5218805.0,39,0.0,1301605.0,34,0.0,1300805.0,158,0.3816091954022989,3303807.0,203,0.02450768846389715,5107040.0
138,3,3300704.0,3,279.0961538461537,1100122.0,40,0.0,1303908.0,35,0.0,1302702.0,167,0.3816091954022989,5003207.0,149,0.024477180246983588,4104808.0
141,3,5204508.0,84,271.1346153846152,3170107.0,41,0.0,1304062.0,36,0.0,1301001.0,155,0.38073394495412843,5008305.0,160,0.0244542969247985,3529005.0
145,3,5218805.0,0,266.1923076923077,1100049.0,42,0.0,1302900.0,37,0.0,1301209.0,161,0.38073394495412843,3503208.0,144,0.024355215971965542,3202405.0
148,3,5003702.0,209,220.90384615384593,5107925.0,48,0.0,1505304.0,38,0.0,1301407.0,169,0.38073394495412843,4109401.0,7,0.02433955826747009,1302405.0
150,3,3300100.0,125,215.9615384615387,2931350.0,49,0.0,1503606.0,39,0.0,1301605.0,121,0.3789954337899543,2932507.0,121,0.024298791816329053,2932507.0
153,3,4209102.0,44,189.50000000000045,1303403.0,50,0.0,1303601.0,40,0.0,1303908.0,162,0.3789954337899543,3505500.0,187,0.02424991572086751,4108403.0
157,3,3302403.0,197,180.980769230769,4316907.0,55,0.0,1505536.0,41,0.0,1304062.0,172,0.3789954337899543,3510500.0,201,0.024235549778056042,5100201.0
159,3,4305108.0,157,176.28846153846158,3302403.0,56,0.0,1508100.0,42,0.0,1302900.0,173,0.3789954337899543,3516200.0,112,0.02421508561682264,2919306.0
160,3,3529005.0,163,172.75,4119905.0,58,0.0,2800308.0,43,0.0,3205309.0,175,0.3789954337899543,3548500.0,80,0.024213387489936795,5103353.0
164,3,5002209.0,14,169.115384615385,1100304.0,60,0.0,1702109.0,48,0.0,1505304.0,117,0.37727272727272726,2903201.0,104,0.024200150269700467,2313302.0
202,3,5102702.0,191,165.788461538462,4314407.0,61,0.0,1500404.0,49,0.0,1503606.0,209,0.37727272727272726,5107925.0,176,0.024195944544419958,4101507.0
203,3,5107040.0,95,136.59615384615407,2408003.0,64,0.0,2105302.0,50,0.0,1303601.0,53,0.37303370786516854,5100250.0,103,0.02418896084425974,2312908.0
208,3,5107958.0,59,133.30769230769226,3549904.0,65,0.0,1501808.0,52,0.0,3170206.0,125,0.36807095343680707,2931350.0,96,0.02417778176134804,2304103.0
209,3,5107925.0,181,127.057692307692,4118501.0,68,0.0,1600279.0,55,0.0,1505536.0,130,0.36086956521739133,3104007.0,82,0.024112944226246005,5107859.0
210,3,5105259.0,182,122.365384615385,4127700.0,70,0.0,1502509.0,56,0.0,1508100.0,5,0.3600867678958785,1200203.0,66,0.02410876875467819,1505908.0
211,3,5106224.0,167,108.92307692307669,5003207.0,71,0.0,1502707.0,58,0.0,2800308.0,114,0.3600867678958785,3170701.0,172,0.024108432086111117,3510500.0
0,2,1100049.0,168,106.923076923077,4209300.0,72,0.0,1505437.0,60,0.0,1702109.0,122,0.3600867678958785,3127701.0,102,0.0240554903758531,2312304.0
3,2,1100122.0,49,106.19230769230774,1503606.0,73,0.0,1505502.0,64,0.0,2105302.0,123,0.3600867678958785,3131307.0,101,0.02403338836808504,2305506.0
5,2,1200203.0,164,103.86538461538493,5002209.0,74,0.0,1506138.0,65,0.0,1501808.0,126,0.3600867678958785,2932903.0,58,0.024024358339224377,2800308.0
38,2,1301407.0,155,99.7884615384615,5008305.0,75,0.0,1506708.0,68,0.0,1600279.0,144,0.3600867678958785,3202405.0,36,0.024023622858065245,1301001.0
