geocode,cities,dates
3550308.0,São Paulo/SP,2020-02-25
3304557.0,Rio de Janeiro/RJ,2020-03-06
2910800.0,Feira de Santana/BA,2020-03-06
5300108.0,Brasília/DF,2020-03-07
2704302.0,Maceió/AL,2020-03-08
3122306.0,Divinópolis/MG,2020-03-08
4314902.0,Porto Alegre/RS,2020-03-11
5208707.0,Goiânia/GO,2020-03-12
2611606.0,Recife/PE,2020-03-12
4106902.0,Curitiba/PR,2020-03-12
4205407.0,Florianópolis/SC,2020-03-12
2408102.0,Natal/RN,2020-03-12
3131307.0,Ipatinga/MG,2020-03-12
5218805.0,Rio Verde/GO,2020-03-12
4305108.0,Caxias do Sul/RS,2020-03-12
4105508.0,Cianorte/PR,2020-03-12
1302603.0,Manaus/AM,2020-03-13
2927408.0,Salvador/BA,2020-03-13
4209102.0,Joinville/SC,2020-03-13
5002704.0,Campo Grande/MS,2020-03-14
2800308.0,Aracaju/SE,2020-03-14
3148103.0,Patrocínio/MG,2020-03-14
3136702.0,Juiz de Fora/MG,2020-03-14
3106200.0,Belo Horizonte/MG,2020-03-16
2304400.0,Fortaleza/CE,2020-03-16
2925303.0,Porto Seguro/BA,2020-03-16
1200401.0,Rio Branco/AC,2020-03-17
3170206.0,Uberlândia/MG,2020-03-17
4113700.0,Londrina/PR,2020-03-17
3509502.0,Campinas/SP,2020-03-18
3549805.0,São José do Rio Preto/SP,2020-03-18
1501402.0,Belém/PA,2020-03-18
4115200.0,Maringá/PR,2020-03-18
4108304.0,Foz do Iguaçu/PR,2020-03-18
3549904.0,São José dos Campos/SP,2020-03-18
1721000.0,Palmas/TO,2020-03-18
2507507.0,João Pessoa/PB,2020-03-18
2312908.0,Sobral/CE,2020-03-18
3205309.0,Vitória/ES,2020-03-19
2211001.0,Teresina/PI,2020-03-19
4307005.0,Erechim/RS,2020-03-19
4301602.0,Bagé/RS,2020-03-19
5103403.0,Cuiabá/MT,2020-03-20
1100122.0,Ji-Paraná/RO,2020-03-20
1600303.0,Macapá/AP,2020-03-20
2111300.0,São Luís/MA,2020-03-20
3170107.0,Uberaba/MG,2020-03-20
2307304.0,Juazeiro do Norte/CE,2020-03-20
3151800.0,Poços de Caldas/MG,2020-03-20
4204202.0,Chapecó/SC,2020-03-20
4204608.0,Criciúma/SC,2020-03-20
4108809.0,Guaíra/PR,2020-03-20
1100205.0,Porto Velho/RO,2020-03-21
1400100.0,Boa Vista/RR,2020-03-21
4208203.0,Itajaí/SC,2020-03-21
2408003.0,Mossoró/RN,2020-03-21
4119905.0,Ponta Grossa/PR,2020-03-21
4208807.0,Jaguaruna/SC,2020-03-21
4118501.0,Pato Branco/PR,2020-03-21
4321501.0,Torres/RS,2020-03-21
1303403.0,Parintins/AM,2020-03-22
2903201.0,Barreiras/BA,2020-03-22
4209300.0,Lages/SC,2020-03-22
4316907.0,Santa Maria/RS,2020-03-22
1504208.0,Marabá/PA,2020-03-23
2611101.0,Petrolina/PE,2020-03-23
2604106.0,Caruaru/PE,2020-03-23
4104808.0,Cascavel/PR,2020-03-23
4315602.0,Rio Grande/RS,2020-03-23
2931350.0,Teixeira de Freitas/BA,2020-03-24
3301009.0,Campos dos Goytacazes/RJ,2020-03-24
4127106.0,Telêmaco Borba/PR,2020-03-24
4118402.0,Paranavaí/PR,2020-03-24
2913606.0,Ilhéus/BA,2020-03-25
3525904.0,Jundiaí/SP,2020-03-25
4104303.0,Campo Mourão/PR,2020-03-25
4314407.0,Pelotas/RS,2020-03-25
3543402.0,Ribeirão Preto/SP,2020-03-26
1300706.0,Boca do Acre/AM,2020-03-26
1503606.0,Itaituba/PA,2020-03-26
3127701.0,Governador Valadares/MG,2020-03-26
3162500.0,São João del Rei/MG,2020-03-26
4314100.0,Passo Fundo/RS,2020-03-26
1702109.0,Araguaína/TO,2020-03-27
2504009.0,Campina Grande/PB,2020-03-27
2605459.0,Fernando de Noronha/PE,2020-03-27
4109401.0,Guarapuava/PR,2020-03-27
4128203.0,União da Vitória/PR,2020-03-27
4317202.0,Santa Rosa/RS,2020-03-27
1505536.0,Parauapebas/PA,2020-03-28
2207702.0,Parnaíba/PI,2020-03-28
3202405.0,Guarapari/ES,2020-03-28
5003702.0,Dourados/MS,2020-03-28
2510808.0,Patos/PB,2020-03-30
3139409.0,Manhuaçu/MG,2020-03-30
3300100.0,Angra dos Reis/RJ,2020-03-30
5107602.0,Rondonópolis/MT,2020-03-30
3548500.0,Santos/SP,2020-03-30
1508100.0,Tucuruí/PA,2020-03-31
3506003.0,Bauru/SP,2020-03-31
3502804.0,Araçatuba/SP,2020-03-31
3302403.0,Macaé/RJ,2020-03-31
4108403.0,Francisco Beltrão/PR,2020-03-31
1506807.0,Santarém/PA,2020-04-01
2105302.0,Imperatriz/MA,2020-04-01
2933307.0,Vitória da Conquista/BA,2020-04-01
3152501.0,Pouso Alegre/MG,2020-04-01
5204508.0,Caldas Novas/GO,2020-04-01
5008305.0,Três Lagoas/MS,2020-04-01
4101507.0,Arapongas/PR,2020-04-01
5107958.0,Tangará da Serra/MT,2020-04-01
5107909.0,Sinop/MT,2020-04-02
3503208.0,Araraquara/SP,2020-04-02
3516200.0,Franca/SP,2020-04-02
4106407.0,Cornélio Procópio/PR,2020-04-02
4118204.0,Paranaguá/PR,2020-04-02
4209003.0,Joaçaba/SC,2020-04-02
4322400.0,Uruguaiana/RS,2020-04-02
5105259.0,Lucas do Rio Verde/MT,2020-04-02
1500602.0,Altamira/PA,2020-04-03
3529005.0,Marília/SP,2020-04-03
5100250.0,Alta Floresta/MT,2020-04-04
3170701.0,Varginha/MG,2020-04-04
3148004.0,Patos de Minas/MG,2020-04-04
5106224.0,Nova Mutum/MT,2020-04-04
1100304.0,Vilhena/RO,2020-04-05
2301109.0,Aracati/CE,2020-04-05
2305506.0,Iguatu/CE,2020-04-05
1303809.0,São Gabriel da Cachoeira/AM,2020-04-06
2304103.0,Crateús/CE,2020-04-06
3143302.0,Montes Claros/MG,2020-04-06
3548906.0,São Carlos/SP,2020-04-06
3510500.0,Caraguatatuba/SP,2020-04-06
5102702.0,Canarana/MT,2020-04-06
5101407.0,Aripuanã/MT,2020-04-06
1303908.0,São Paulo de Olivença/AM,2020-04-07
2612208.0,Salgueiro/PE,2020-04-07
3300704.0,Cabo Frio/RJ,2020-04-07
3151503.0,Piumhi/MG,2020-04-07
3505500.0,Barretos/SP,2020-04-07
5003207.0,Corumbá/MS,2020-04-07
5107040.0,Primavera do Leste/MT,2020-04-07
1302702.0,Manicoré/AM,2020-04-08
1304062.0,Tabatinga/AM,2020-04-08
1709500.0,Gurupi/TO,2020-04-08
3541406.0,Presidente Prudente/SP,2020-04-08
4127700.0,Toledo/PR,2020-04-08
3303807.0,Paraty/RJ,2020-04-09
4203006.0,Caçador/SC,2020-04-09
1304203.0,Tefé/AM,2020-04-10
1302900.0,Maués/AM,2020-04-10
2613909.0,Serra Talhada/PE,2020-04-10
1200203.0,Cruzeiro do Sul/AC,2020-04-13
1502707.0,Conceição do Araguaia/PA,2020-04-13
1302405.0,Lábrea/AM,2020-04-14
1505106.0,Óbidos/PA,2020-04-14
2903904.0,Bom Jesus da Lapa/BA,2020-04-14
2932507.0,Una/BA,2020-04-14
3104007.0,Araxá/MG,2020-04-14
3147907.0,Passos/MG,2020-04-14
5106752.0,Pontes e Lacerda/MT,2020-04-14
1504802.0,Monte Alegre/PA,2020-04-15
1600279.0,Laranjal do Jari/AP,2020-04-15
1503903.0,Juruti/PA,2020-04-15
2313302.0,Tauá/CE,2020-04-15
3101706.0,Almenara/MG,2020-04-15
1301001.0,Carauari/AM,2020-04-16
1301209.0,Coari/AM,2020-04-17
2932903.0,Valença/BA,2020-04-17
3128709.0,Guaxupé/MG,2020-04-17
1303601.0,Santa Isabel do Rio Negro/AM,2020-04-18
2911709.0,Guanambi/BA,2020-04-18
5101803.0,Barra do Garças/MT,2020-04-18
3171303.0,Viçosa/MG,2020-04-19
1505304.0,Oriximiná/PA,2020-04-20
1501808.0,Breves/PA,2020-04-20
2924009.0,Paulo Afonso/BA,2020-04-21
1300409.0,Barcelos/AM,2020-04-22
1506138.0,Redenção/PA,2020-04-22
2108207.0,Pedreiras/MA,2020-04-22
3168606.0,Teófilo Otoni/MG,2020-04-22
1500404.0,Alenquer/PA,2020-04-23
5103353.0,Confresa/MT,2020-04-23
2103307.0,Codó/MA,2020-04-23
1301605.0,Fonte Boa/AM,2020-04-24
1505908.0,Porto de Moz/PA,2020-04-24
1505502.0,Paragominas/PA,2020-04-24
2312304.0,São Benedito/CE,2020-04-24
1301704.0,Humaitá/AM,2020-04-26
1300805.0,Borba/AM,2020-04-27
1507300.0,São Félix do Xingu/PA,2020-04-28
4317509.0,Santo Ângelo/RS,2020-04-28
2304251.0,Cruz/CE,2020-04-29
1100049.0,Cacoal/RO,2020-04-30
1505437.0,Ourilândia do Norte/PA,2020-04-30
1301407.0,Eirunepé/AM,2020-05-01
1502509.0,Chaves/PA,2020-05-03
5107925.0,Sorriso/MT,2020-05-05
5213087.0,Minaçu/GO,2020-05-07
1506708.0,Santana do Araguaia/PA,2020-05-08
5002209.0,Bonito/MS,2020-05-08
5100201.0,Água Boa/MT,2020-05-09
4318002.0,São Borja/RS,2020-05-11
5107859.0,São Félix do Araguaia/MT,2020-05-13
3103405.0,Araçuaí/MG,2020-05-15
3121605.0,Diamantina/MG,2020-05-15
2102804.0,Carolina/MA,2020-05-16
5105150.0,Juína/MT,2020-05-22
5105101.0,Juara/MT,2020-05-23
4304408.0,Canela/RS,2020-05-24
3170057.0,Ubaporanga/MG,2020-06-04
2919306.0,Lençóis/BA,2020-06-08
5100805.0,Apiacás/MT,2020-06-17
