nodes,matric_values,geocode
17,11683.0,3550308.0
1,2951.0,5103403.0
4,2297.0,3509502.0
27,2065.0,4106902.0
11,1914.0,3106200.0
21,1749.0,1501402.0
8,1605.0,1302603.0
29,1605.0,4314902.0
18,1587.0,3304557.0
23,1133.0,2611606.0
9,952.0,5300108.0
25,815.0,2304400.0
20,648.0,1506807.0
201,490.0,5100201.0
62,489.0,1504802.0
51,165.0,2927408.0
63,165.0,1505106.0
82,165.0,5107859.0
180,165.0,4127106.0
185,165.0,4128203.0
206,165.0,5105150.0
208,165.0,5107958.0
0,0.0,1100049.0
2,0.0,5002704.0
3,0.0,1100122.0
5,0.0,1200203.0
6,0.0,1301704.0
7,0.0,1302405.0
10,0.0,5208707.0
12,0.0,5107909.0
13,0.0,1100205.0
14,0.0,1100304.0
15,0.0,3543402.0
16,0.0,3549805.0
19,0.0,1200401.0
22,0.0,1400100.0
24,0.0,1304203.0
26,0.0,1500602.0
28,0.0,4115200.0
30,0.0,4205407.0
31,0.0,1300409.0
32,0.0,1303809.0
33,0.0,1300706.0
34,0.0,1300805.0
35,0.0,1302702.0
36,0.0,1301001.0
37,0.0,1301209.0
38,0.0,1301407.0
39,0.0,1301605.0
40,0.0,1303908.0
41,0.0,1304062.0
42,0.0,1302900.0
43,0.0,3205309.0
44,0.0,1303403.0
45,0.0,1600303.0
46,0.0,2408102.0
47,0.0,2111300.0
48,0.0,1505304.0
49,0.0,1503606.0
50,0.0,1303601.0
52,0.0,3170206.0
53,0.0,5100250.0
54,0.0,1504208.0
55,0.0,1505536.0
56,0.0,1508100.0
57,0.0,4108304.0
58,0.0,2800308.0
59,0.0,3549904.0
60,0.0,1702109.0
61,0.0,1500404.0
64,0.0,2105302.0
65,0.0,1501808.0
66,0.0,1505908.0
67,0.0,1721000.0
68,0.0,1600279.0
69,0.0,2211001.0
70,0.0,1502509.0
71,0.0,1502707.0
72,0.0,1505437.0
73,0.0,1505502.0
74,0.0,1506138.0
75,0.0,1506708.0
76,0.0,1507300.0
77,0.0,4208203.0
78,0.0,1503903.0
79,0.0,5213087.0
80,0.0,5103353.0
81,0.0,1709500.0
83,0.0,2102804.0
84,0.0,3170107.0
85,0.0,3506003.0
86,0.0,3502804.0
87,0.0,2103307.0
88,0.0,2108207.0
89,0.0,2704302.0
90,0.0,2207702.0
91,0.0,2925303.0
92,0.0,2507507.0
93,0.0,4113700.0
94,0.0,2301109.0
95,0.0,2408003.0
96,0.0,2304103.0
97,0.0,2304251.0
98,0.0,2307304.0
99,0.0,2504009.0
100,0.0,2611101.0
101,0.0,2305506.0
102,0.0,2312304.0
103,0.0,2312908.0
104,0.0,2313302.0
105,0.0,2605459.0
106,0.0,2510808.0
107,0.0,2604106.0
108,0.0,3143302.0
109,0.0,2924009.0
110,0.0,3541406.0
111,0.0,2910800.0
112,0.0,2919306.0
113,0.0,2913606.0
114,0.0,3170701.0
115,0.0,2612208.0
116,0.0,2613909.0
117,0.0,2903201.0
118,0.0,2933307.0
119,0.0,2903904.0
120,0.0,2911709.0
121,0.0,2932507.0
122,0.0,3127701.0
123,0.0,3131307.0
124,0.0,3525904.0
125,0.0,2931350.0
126,0.0,2932903.0
127,0.0,3101706.0
128,0.0,3103405.0
129,0.0,3121605.0
130,0.0,3104007.0
131,0.0,3148103.0
132,0.0,3148004.0
133,0.0,3168606.0
134,0.0,3170057.0
135,0.0,3139409.0
136,0.0,3171303.0
137,0.0,3152501.0
138,0.0,3300704.0
139,0.0,3151800.0
140,0.0,3151503.0
141,0.0,5204508.0
142,0.0,3128709.0
143,0.0,3147907.0
144,0.0,3202405.0
145,0.0,5218805.0
146,0.0,3136702.0
147,0.0,3162500.0
148,0.0,5003702.0
149,0.0,4104808.0
150,0.0,3300100.0
151,0.0,3301009.0
152,0.0,4204202.0
153,0.0,4209102.0
154,0.0,3122306.0
155,0.0,5008305.0
156,0.0,5107602.0
157,0.0,3302403.0
158,0.0,3303807.0
159,0.0,4305108.0
160,0.0,3529005.0
161,0.0,3503208.0
162,0.0,3505500.0
163,0.0,4119905.0
164,0.0,5002209.0
165,0.0,4314100.0
166,0.0,4208807.0
167,0.0,5003207.0
168,0.0,4209300.0
169,0.0,4109401.0
170,0.0,4204608.0
171,0.0,3548906.0
172,0.0,3510500.0
173,0.0,3516200.0
174,0.0,5101803.0
175,0.0,3548500.0
176,0.0,4101507.0
177,0.0,4104303.0
178,0.0,4105508.0
179,0.0,4106407.0
181,0.0,4118501.0
182,0.0,4127700.0
183,0.0,4108809.0
184,0.0,4118204.0
186,0.0,4118402.0
187,0.0,4108403.0
188,0.0,4307005.0
189,0.0,4203006.0
190,0.0,4209003.0
191,0.0,4314407.0
192,0.0,4301602.0
193,0.0,4304408.0
194,0.0,4315602.0
195,0.0,4317202.0
196,0.0,4317509.0
197,0.0,4316907.0
198,0.0,4322400.0
199,0.0,4318002.0
200,0.0,4321501.0
202,0.0,5102702.0
203,0.0,5107040.0
204,0.0,5100805.0
205,0.0,5105101.0
207,0.0,5101407.0
209,0.0,5107925.0
210,0.0,5105259.0
211,0.0,5106224.0
212,0.0,5106752.0
