nodes,matric_values,geocode
3662,4031344.5505871056,3550308.0
2191,1026723.933864645,3106200.0
5173,771377.015420366,5208707.0
5321,638633.1189353465,5300108.0
3099,549845.5358797838,3304557.0
4701,523071.14218355797,4314902.0
861,487472.9356506067,2304400.0
3228,473160.6541915121,3509502.0
3831,444184.5485746323,4106902.0
1069,384711.07383725833,2408102.0
1843,305997.6230783922,2910800.0
2047,304554.1872376073,2927408.0
3592,277978.50387921266,3543402.0
794,276568.7977499882,2211001.0
1485,255704.65018091095,2611606.0
1193,252857.10906833073,2504009.0
550,244288.81410446312,2111300.0
5097,241283.12224221107,5201108.0
1237,239585.10447708063,2507507.0
1642,236666.1053936161,2800308.0
3656,230142.56369009442,3549805.0
1585,228627.6500565052,2704302.0
3942,212159.37794645465,4115200.0
2432,182627.34699454613,3127701.0
3807,177451.1567492066,4104808.0
4474,167825.04364909965,4304705.0
2931,162053.69377322812,3170206.0
2537,159702.0846509889,3136702.0
4885,157935.5166631225,5002704.0
365,154723.51678047908,1721000.0
4203,154159.30051085757,4205407.0
112,146379.1350533977,1501402.0
4982,146375.14158891782,5103403.0
3925,137256.9622191974,4113700.0
4772,137070.94812297073,4318705.0
738,135500.61704436986,2208007.0
3570,129413.5665537855,3541406.0
1751,125538.45678198377,2903201.0
3035,124794.89287446789,3205309.0
59,117587.81603757212,1200401.0
2930,117486.16180342832,3170107.0
3657,113523.27231777186,3549904.0
1275,112790.1352251095,2510808.0
1541,112204.45145447135,2700300.0
2123,108785.963673654,2933307.0
3856,108118.81502803361,4108304.0
4004,107633.30363996622,4119905.0
1068,105912.84999567982,2408003.0
16,104619.48105198662,1100205.0
294,104356.92949094069,1709500.0
4739,103475.67772626784,4316907.0
2912,101114.58400156711,3168606.0
248,99823.02665588274,1702109.0
128,93961.01314256295,1502400.0
459,89318.45327585757,2105302.0
2474,87857.18701129068,3131307.0
3646,86911.76317038614,3548708.0
4613,84577.63258355758,4311403.0
4184,82346.43518270133,4204202.0
1402,81946.41209005656,2604106.0
1,81726.20336957149,1100023.0
4583,77597.5250462247,4310207.0
4680,74412.78630201545,4314100.0
1946,68787.58105054258,2919553.0
3541,67861.39632566617,3538709.0
662,66538.27428359336,2203909.0
390,65986.20012759187,2101202.0
5201,65822.96581407357,5211503.0
1423,65317.950141979774,2606002.0
5057,64459.389074898296,5107602.0
4670,62301.119223583264,4313706.0
2616,61691.03066407341,3143302.0
4532,61483.88109488368,4307005.0
1889,61455.862191996624,2914802.0
4323,61220.81003164931,4214805.0
5068,60904.142187681886,5107909.0
3406,60564.1129619431,3525904.0
3799,60536.63850740503,4104303.0
969,60334.05396281433,2312908.0
11,59226.821824515755,1100122.0
326,59067.36149271887,1716109.0
4557,58494.46069066983,4308508.0
4251,58385.667294213454,4209300.0
3704,58384.44136795412,3554102.0
3497,58376.159496789944,3534401.0
77,57707.59540948431,1302603.0
5166,57329.38091789171,5208004.0
4748,56288.073147952906,4317509.0
1925,56167.578218038085,2918001.0
2186,55706.15474580829,3105608.0
1694,54648.86947522448,2805703.0
2528,53222.762525916085,3136207.0
4357,51971.02465905762,4217204.0
2163,51739.578866687814,3103504.0
2724,50613.524990653656,3152105.0
4186,50568.575624036894,4204301.0
509,49312.01026044713,2108454.0
14,49261.63045164718,1100155.0
1082,48871.537251648806,2409407.0
4961,48746.75906470515,5101803.0
4386,48730.14959119778,4219507.0
4247,48502.83624877129,4209102.0
4481,47165.195691821384,4305108.0
1189,47080.51737151966,2503704.0
4686,46723.27472557137,4314407.0
5274,46607.53784359106,5218805.0
3437,45987.33070842354,3529005.0
1008,45334.28056078638,2402006.0
1491,45263.90415712501,2612208.0
4793,44736.86066572338,4320107.0
3952,44487.3598501349,4115804.0
3154,44385.61148488713,3502804.0
2623,44104.16701302398,3143906.0
3858,43541.9174106305,4108403.0
4148,43237.77816296849,4202008.0
1346,42862.608304881054,2516201.0
422,42371.092082435294,2103000.0
5137,42289.34061830236,5205109.0
3188,42023.061555344226,3506003.0
4114,42005.72262325118,4128104.0
901,41913.83145741004,2307304.0
1479,41822.27562754987,2611101.0
4266,41712.54430851553,4210506.0
627,41463.24187408393,2202208.0
2777,41019.57789660945,3157005.0
4509,40922.910392454934,4306106.0
4191,40590.91964218534,4204608.0
2730,40547.87016233011,3152501.0
4388,40097.07803581315,4219705.0
4543,40088.344644295845,4307807.0
3051,39444.88798591606,3301009.0
2335,39381.45264486215,3119401.0
3301,39172.56205715521,3516200.0
5265,39025.38063201455,5218003.0
3681,38883.68781986831,3552205.0
4106,37533.278002885185,4127700.0
4374,36906.98454714533,4218707.0
2019,36680.72335523403,2925105.0
4562,36538.88021582749,4308904.0
2948,35480.14111228762,3171303.0
529,35466.40108061503,2109908.0
4807,35463.02468027176,4320800.0
1968,35455.64593386503,2921302.0
4246,35264.28951255933,4209003.0
3168,35223.85222034039,3504008.0
274,34699.44789640428,1705508.0
86,34362.047145446595,1400100.0
730,34223.88046753785,2207702.0
4237,34217.27524138371,4208203.0
3500,34187.80891758125,3534708.0
2485,34097.615742251925,3132404.0
293,33969.373936557284,1709302.0
3396,33787.17067434621,3524808.0
3141,33489.08718987943,3501608.0
4738,33427.58427246036,4316808.0
721,33091.061664603934,2207009.0
394,33020.04101639596,2101400.0
4175,32941.56562126019,4203600.0
193,32918.37761529697,1506807.0
4744,32715.652124804965,4317202.0
4897,32518.159862664124,5003702.0
2324,31908.79962242936,3118304.0
5205,31640.931944039527,5211909.0
3871,31541.04872796525,4109401.0
3644,31356.164971901533,3548500.0
487,30602.658263126537,2106755.0
1840,29887.809108152902,2910727.0
2927,29645.081458141303,3169901.0
1225,29597.655537981736,2506301.0
3988,29580.121598798043,4118501.0
1511,29249.917213592485,2613909.0
2079,29214.433698803212,2929909.0
2571,29108.07558289161,3139409.0
1629,28890.45923556566,2708600.0
5312,28862.224107668124,5221601.0
1721,28566.362921729517,2900702.0
853,28509.611577992255,2304202.0
2976,28493.107664173316,3201506.0
3043,28324.037010066528,3300407.0
5037,28031.063913862126,5106752.0
3122,27711.06549253335,3306305.0
4843,27634.077893330403,4322509.0
4156,27588.12749719384,4202404.0
4662,27463.498477856152,4313409.0
4964,27447.287975624313,5102504.0
15,27277.30702474515,1100189.0
784,26330.868167862474,2210607.0
3636,26271.656223472593,3547809.0
3025,26248.449675642638,3204906.0
1797,25897.707249025,2906873.0
20,25812.10057499932,1100304.0
4430,25788.07234992594,4302105.0
2675,25463.843161775396,3147907.0
4142,25255.08463313362,4201406.0
339,25113.655339731893,1718204.0
517,25110.11312330281,2109106.0
1886,24852.32015517514,2914604.0
3814,24518.612736824434,4105508.0
371,24497.749992162557,2100055.0
5204,24400.926661638925,5211800.0
1468,24100.387648507327,2610004.0
4608,24099.404490404766,4311205.0
4591,23721.16949472357,4310504.0
1888,23667.814491805988,2914703.0
2677,23510.06555580392,3148004.0
1020,23294.46310408642,2403251.0
3159,23272.036490966562,3503208.0
929,23261.713336928035,2309607.0
391,23098.5290529312,2101251.0
988,22979.208346363805,2400208.0
10,22926.98876048065,1100114.0
5069,22834.84644625696,5107925.0
568,22704.582656403232,2112209.0
1425,22625.153522346176,2606200.0
1855,22621.342883966838,2911709.0
3528,22565.204467083404,3537305.0
4947,22010.84258662711,5100250.0
2169,21938.76705027603,3104007.0
3418,21511.13411134502,3527108.0
1838,21426.815010870705,2910602.0
3243,21352.370866564732,3511102.0
1371,20743.837860547013,2601201.0
2422,20423.25640528278,3127107.0
4301,20323.41880477808,4212908.0
2269,20298.19785517669,3113404.0
2840,20189.073245372125,3162500.0
3150,20040.25088202332,3502507.0
4672,20001.469659258008,4313904.0
3937,19949.54725239209,4114609.0
3,19923.00123427736,1100049.0
2099,19434.937066131763,2931350.0
5100,19382.387758428533,5201405.0
629,19380.663123487113,2202307.0
2556,19269.526495434697,3138401.0
3183,19194.72019984231,3505500.0
2727,19001.152080052532,3152204.0
797,18988.835758957164,2211308.0
4383,18969.079898292774,4219309.0
4829,18786.888941266167,4321857.0
3757,18776.25565882116,4101408.0
2553,18768.19310818304,3138203.0
5022,18596.64995408109,5106224.0
191,18542.55380547085,1506609.0
1605,18458.823536959488,2706307.0
126,18439.63412776672,1502202.0
2268,18224.247112924946,3113305.0
1782,18157.211077561235,2905602.0
3919,18059.02323309058,4113304.0
133,18044.92905370758,1502772.0
1564,17734.566392026132,2702405.0
583,17584.558513148884,2200202.0
4115,17560.16577118631,4128203.0
2920,17437.272993622308,3169307.0
438,17414.72493471486,2104057.0
17,17392.953148572098,1100254.0
5220,17279.94165878853,5213103.0
4999,17270.488440326364,5104807.0
3370,17269.029800321132,3522307.0
1353,17248.350174349413,2516904.0
4289,17192.463593127944,4212106.0
5078,17106.682264638406,5108402.0
578,17066.23873925718,2112902.0
1018,17016.744369350185,2403103.0
4194,17015.86486007348,4204806.0
1920,16832.083616366723,2917508.0
1290,16608.446103981845,2512101.0
4625,16588.307345861882,4311809.0
1848,16446.67292084603,2911204.0
3207,16329.58123887991,3507605.0
2081,16289.057784583449,2930105.0
2061,16287.550819730233,2928703.0
4310,16277.689394139403,4213609.0
5190,16219.502743946692,5210208.0
4238,16188.368572956073,4208302.0
4558,16168.64683562466,4308607.0
2469,16027.341870425162,3130903.0
878,15975.95206952963,2305407.0
789,15929.609522302915,2210805.0
3898,15913.625338988848,4111506.0
3905,15886.357687150801,4112108.0
5271,15823.77869582844,5218607.0
1525,15804.446670947067,2615300.0
1871,15803.111937812973,2913200.0
4546,15802.775094591703,4307906.0
3152,15783.442374032096,3502705.0
1930,15569.949795392158,2918407.0
1199,15543.427530679977,2504306.0
3923,15477.970818224483,4113502.0
4220,15415.361462222501,4206900.0
2698,15409.639492102055,3149903.0
4612,15368.673687649138,4311304.0
4452,15346.632874058789,4303509.0
2005,15308.977093143514,2924009.0
3094,15288.202875416395,3304201.0
5294,15221.405920241064,5220108.0
3597,15197.771973983974,3543907.0
3118,15179.735006774481,3306008.0
2354,15121.821528986806,3120904.0
515,15113.960999167177,2109007.0
4638,15076.047973639912,4312401.0
4667,15022.599286364952,4313508.0
4351,15009.366353883492,4216701.0
879,14675.432065924118,2305506.0
90,14625.912735298329,1400233.0
2721,14602.894685574325,3151800.0
3000,14564.162592571263,3203205.0
2897,14550.836826378147,3167202.0
2494,14507.77470130481,3133303.0
5268,14505.921981941969,5218300.0
742,14493.053391367228,2208403.0
4774,14372.689499182696,4318903.0
3703,14357.497298609016,3554003.0
461,14321.622687041234,2105401.0
2141,14266.198052346786,3101508.0
4918,14145.546030274438,5005707.0
4967,14097.856607163549,5102678.0
1254,14081.184734576105,2509107.0
3416,14073.438478600088,3526902.0
2289,14020.752619982102,3115300.0
4225,14004.697764619958,4207502.0
645,13989.63168528448,2202901.0
4025,13864.664556700183,4121406.0
4529,13863.72943450355,4306932.0
2409,13766.96430680877,3126109.0
4000,13712.783352146087,4119608.0
152,13689.085055735115,1504208.0
2718,13682.692181561122,3151503.0
2504,13468.861445493978,3134202.0
836,13406.30528388949,2302800.0
4079,13399.284552437777,4125605.0
2641,13396.088169119714,3145208.0
4927,13269.17811796585,5006606.0
3740,13160.902547658534,3557105.0
3771,13113.677440734986,4102604.0
4917,13099.870289533077,5005681.0
5307,13093.318229681625,5221403.0
1030,13000.267319534903,2404200.0
5103,12996.71735729261,5201702.0
2627,12960.176415145306,3144300.0
533,12934.761185412875,2110203.0
3391,12892.18407954342,3524303.0
2834,12801.660471349805,3162104.0
181,12778.132644751724,1506138.0
1058,12753.541001244675,2407104.0
2368,12724.488202049004,3122306.0
4920,12621.36142904679,5006002.0
4167,12619.722558948486,4203006.0
3081,12596.454517711021,3303401.0
2202,12590.852710910649,3107307.0
4842,12546.80918809729,4322400.0
1517,12520.534723401033,2614501.0
4930,12483.374887871174,5007208.0
3371,12454.87181840687,3522406.0
4369,12423.452021651467,4218202.0
2492,12348.971623285835,3133105.0
1876,12253.103620485226,2913606.0
827,12238.718667867714,2302008.0
4255,12224.212970789355,4209607.0
311,12221.621078408956,1713304.0
3648,12198.38121831901,3548906.0
3623,12190.630863925628,3546603.0
2678,12138.504652304622,3148103.0
852,12130.898793504393,2304103.0
2573,12121.128262983771,3139607.0
104,12118.366124090713,1500602.0
2435,11948.362661301508,3128006.0
3845,11939.067266959924,4107603.0
3865,11934.085527334804,4108809.0
3071,11907.486346498927,3302403.0
4245,11898.622622449866,4208906.0
5127,11866.304205081717,5204508.0
2715,11863.59944509356,3151206.0
587,11819.181744041876,2200400.0
773,11778.935757483827,2210003.0
1401,11690.295676693218,2604007.0
1623,11641.867466179136,2708006.0
2325,11609.443777730525,3118403.0
4038,11570.958118836475,4122404.0
3821,11566.873201414073,4106308.0
1070,11549.645167468847,2408300.0
3194,11537.776399789009,3506508.0
3822,11518.33010340439,4106407.0
2819,11505.574324047264,3160702.0
3542,11504.014381093939,3538808.0
4177,11466.106255080487,4203808.0
4794,11200.767539780383,4320206.0
1617,11158.703304122115,2707305.0
2443,11135.892044790135,3128709.0
5043,11133.49087614286,5107040.0
4447,11131.711175425333,4303004.0
3836,11113.379203972054,4107207.0
3529,11103.168578071363,3537404.0
3625,11035.83513142738,3546801.0
3769,10973.627802941322,4102406.0
3545,10912.950048017536,3539103.0
2022,10871.704157524542,2925303.0
2257,10865.862754104806,3112307.0
4747,10839.802605642544,4317400.0
5094,10835.180614908377,5200803.0
2142,10821.363437789034,3101607.0
4314,10702.423755707927,4214003.0
3399,10696.433525530007,3525300.0
3715,10675.061418252648,3555000.0
55,10670.335366975554,1200203.0
105,10644.415900135618,1500800.0
437,10597.004799359986,2104008.0
4,10595.000000000002,1100056.0
160,10594.999999999996,1504802.0
123,10594.0,1502004.0
3146,10532.684434257257,3502101.0
1638,10508.660887965574,2709301.0
3963,10442.95105011736,4116901.0
4353,10426.839278682079,4216909.0
4196,10417.597601523588,4205001.0
4743,10353.05060143428,4317103.0
1344,10321.560476545965,2516102.0
4784,10272.69603641118,4319406.0
2939,10236.789024095791,3170701.0
4943,10169.951243150737,5008305.0
388,10166.532236525829,2101004.0
4362,10122.734926805997,4217709.0
617,10090.844328389716,2202000.0
1657,10030.624694807515,2802106.0
1264,9967.718052760005,2509701.0
2245,9885.644433041925,3111200.0
3169,9835.632309348719,3504107.0
1334,9811.782866872114,2515302.0
4006,9673.431719699307,4120002.0
4898,9574.393513996256,5003751.0
2973,9565.19879106624,3201209.0
3189,9548.333938711485,3506102.0
2869,9533.966475529054,3164704.0
1294,9517.972913432619,2512507.0
396,9470.024500281546,2101608.0
2239,9463.311037063482,3110608.0
5140,9449.086213472541,5205406.0
2144,9424.63486578762,3101706.0
4848,9408.271441676758,4322608.0
146,9371.43581309851,1503606.0
4893,9318.731804299045,5003306.0
815,9316.720076701196,2301109.0
250,9308.136881007502,1702208.0
3293,9293.46482380494,3515509.0
5007,9283.407873605978,5105259.0
3499,9269.113365719651,3534609.0
4877,9200.066363076088,5001904.0
1292,9148.584871700608,2512309.0
2824,8991.780246621694,3161106.0
4252,8973.10151715355,4209409.0
951,8966.363859513625,2311306.0
2713,8964.083341104431,3151008.0
3276,8957.335723498389,3514403.0
3067,8910.85582460537,3302205.0
3870,8909.580692993239,4109302.0
2564,8891.24374982139,3138807.0
5149,8880.713157697563,5206206.0
4718,8868.222576966275,4315602.0
3492,8823.03017654754,3533908.0
1760,8805.294563161107,2903904.0
3087,8783.999859081985,3303906.0
1232,8771.734069406306,2507002.0
1665,8697.384127189975,2802908.0
4163,8684.361844830724,4202800.0
4595,8651.817374430968,4310603.0
2858,8623.790752099021,3163706.0
2362,8602.434444659671,3121605.0
1496,8577.305449086909,2612505.0
3665,8568.110460668357,3550605.0
4946,8524.248451956864,5100201.0
1336,8498.641605799685,2515500.0
1973,8493.936167976442,2921708.0
2086,8439.287272927131,2930501.0
5058,8407.557894115387,5107701.0
3173,8398.009131122619,3504503.0
4341,8363.631040854585,4216008.0
3716,8251.611663171103,3555109.0
2913,8214.44588523849,3168705.0
4979,8177.552725084035,5103353.0
4948,8170.162822457839,5100300.0
4539,8133.174478421208,4307500.0
2332,8002.677728326956,3119104.0
4418,7991.486938562939,4301602.0
4367,7961.922425507664,4218004.0
4658,7928.577226461275,4313300.0
188,7866.481708130561,1506500.0
5297,7853.412765070554,5220405.0
3994,7851.118484754255,4119004.0
3583,7842.256582656076,3542602.0
2985,7819.267736586833,3202306.0
1898,7798.2315413028755,2915601.0
3380,7789.063017474376,3523206.0
3080,7763.879456962116,3303302.0
3986,7755.774980767036,4118402.0
241,7623.787625902743,1700707.0
172,7540.530333497192,1505502.0
2764,7536.602549546079,3155801.0
3206,7499.271466773046,3507506.0
3454,7474.531522170426,3530607.0
62,7444.737731638328,1200500.0
2591,7408.507852165311,3141009.0
453,7399.062635111008,2104800.0
1359,7397.381444105474,2600104.0
3306,7379.507615960286,3516705.0
1151,7372.2807345748615,2500700.0
4921,7361.9094768165005,5006200.0
2473,7315.164020444038,3131208.0
3978,7303.6443792850805,4117602.0
4214,7262.880927764719,4206405.0
651,7246.791696116725,2203305.0
3824,7178.84642430296,4106506.0
4223,7139.087552288375,4207304.0
4906,7114.753243715135,5004601.0
678,7108.196042304389,2205102.0
4113,7096.104437997907,4128005.0
1326,7001.238344937053,2514503.0
5280,6993.826934594118,5219308.0
1921,6933.542562123403,2917607.0
1829,6917.08191526506,2909802.0
4830,6916.171072494442,4321907.0
602,6896.178605442661,2201408.0
5013,6873.822738715606,5105903.0
1769,6827.631363820315,2904605.0
976,6812.666202374784,2313401.0
4992,6796.363429744271,5104104.0
3509,6766.0610102128085,3535507.0
1879,6765.890625171354,2913903.0
1370,6760.979543371577,2601102.0
