nodes,matric_values,geocode
17,71,3550308.0
4,69,3509502.0
11,48,3106200.0
9,43,5300108.0
23,40,2611606.0
18,37,3304557.0
1,36,5103403.0
15,33,3543402.0
29,30,4314902.0
21,29,1501402.0
27,29,4106902.0
8,28,1302603.0
51,28,2927408.0
25,24,2304400.0
10,19,5208707.0
89,18,2704302.0
91,17,2925303.0
20,16,1506807.0
46,15,2408102.0
47,14,2111300.0
2,12,5002704.0
13,12,1100205.0
30,11,4205407.0
43,11,3205309.0
52,11,3170206.0
67,11,1721000.0
69,11,2211001.0
16,10,3549805.0
45,9,1600303.0
54,9,1504208.0
57,8,4108304.0
92,8,2507507.0
93,8,4113700.0
110,8,3541406.0
24,7,1304203.0
58,7,2800308.0
85,7,3506003.0
22,6,1400100.0
59,6,3549904.0
64,6,2105302.0
77,6,4208203.0
98,6,2307304.0
100,6,2611101.0
108,6,3143302.0
113,6,2913606.0
206,6,5105150.0
19,5,1200401.0
26,5,1500602.0
55,5,1505536.0
84,5,3170107.0
152,5,4204202.0
201,5,5100201.0
7,4,1302405.0
12,4,5107909.0
28,4,4115200.0
37,4,1301209.0
44,4,1303403.0
49,4,1503606.0
66,4,1505908.0
94,4,2301109.0
97,4,2304251.0
99,4,2504009.0
118,4,2933307.0
124,4,3525904.0
149,4,4104808.0
156,4,5107602.0
165,4,4314100.0
36,3,1301001.0
53,3,5100250.0
62,3,1504802.0
63,3,1505106.0
117,3,2903201.0
138,3,3300704.0
141,3,5204508.0
145,3,5218805.0
148,3,5003702.0
150,3,3300100.0
153,3,4209102.0
157,3,3302403.0
159,3,4305108.0
160,3,3529005.0
164,3,5002209.0
202,3,5102702.0
203,3,5107040.0
208,3,5107958.0
209,3,5107925.0
210,3,5105259.0
211,3,5106224.0
0,2,1100049.0
3,2,1100122.0
5,2,1200203.0
38,2,1301407.0
41,2,1304062.0
42,2,1302900.0
61,2,1500404.0
65,2,1501808.0
68,2,1600279.0
80,2,5103353.0
82,2,5107859.0
86,2,3502804.0
90,2,2207702.0
95,2,2408003.0
105,2,2605459.0
106,2,2510808.0
111,2,2910800.0
112,2,2919306.0
125,2,2931350.0
130,2,3104007.0
146,2,3136702.0
151,2,3301009.0
158,2,3303807.0
163,2,4119905.0
166,2,4208807.0
167,2,5003207.0
174,2,5101803.0
180,2,4127106.0
185,2,4128203.0
187,2,4108403.0
205,2,5105101.0
212,2,5106752.0
14,1,1100304.0
32,1,1303809.0
48,1,1505304.0
56,1,1508100.0
60,1,1702109.0
96,1,2304103.0
101,1,2305506.0
102,1,2312304.0
103,1,2312908.0
104,1,2313302.0
107,1,2604106.0
109,1,2924009.0
114,1,3170701.0
116,1,2613909.0
121,1,2932507.0
122,1,3127701.0
123,1,3131307.0
126,1,2932903.0
144,1,3202405.0
155,1,5008305.0
161,1,3503208.0
162,1,3505500.0
168,1,4209300.0
169,1,4109401.0
172,1,3510500.0
173,1,3516200.0
175,1,3548500.0
176,1,4101507.0
177,1,4104303.0
178,1,4105508.0
179,1,4106407.0
181,1,4118501.0
182,1,4127700.0
183,1,4108809.0
184,1,4118204.0
186,1,4118402.0
191,1,4314407.0
192,1,4301602.0
193,1,4304408.0
194,1,4315602.0
195,1,4317202.0
196,1,4317509.0
197,1,4316907.0
198,1,4322400.0
199,1,4318002.0
200,1,4321501.0
207,1,5101407.0
6,0,1301704.0
31,0,1300409.0
33,0,1300706.0
34,0,1300805.0
35,0,1302702.0
39,0,1301605.0
40,0,1303908.0
50,0,1303601.0
70,0,1502509.0
71,0,1502707.0
72,0,1505437.0
73,0,1505502.0
74,0,1506138.0
75,0,1506708.0
76,0,1507300.0
78,0,1503903.0
79,0,5213087.0
81,0,1709500.0
83,0,2102804.0
87,0,2103307.0
88,0,2108207.0
115,0,2612208.0
119,0,2903904.0
120,0,2911709.0
127,0,3101706.0
128,0,3103405.0
129,0,3121605.0
131,0,3148103.0
132,0,3148004.0
133,0,3168606.0
134,0,3170057.0
135,0,3139409.0
136,0,3171303.0
137,0,3152501.0
139,0,3151800.0
140,0,3151503.0
142,0,3128709.0
143,0,3147907.0
147,0,3162500.0
154,0,3122306.0
170,0,4204608.0
171,0,3548906.0
188,0,4307005.0
189,0,4203006.0
190,0,4209003.0
204,0,5100805.0
